,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Ordinary Shares Number,963290932.0,967904634.0,967478690.0,966812661.0,966053166.0,,
Share Issued,963290932.0,967904634.0,967478690.0,966812661.0,966053166.0,,
Total Debt,96136000.0,99936000.0,103739000.0,101060000.0,119397000.0,,
Tangible Book Value,9208280000.0,9021786000.0,8606422000.0,8196176000.0,7723504000.0,,
Invested Capital,9789045000.0,9600157000.0,9187033000.0,8781193000.0,8301257000.0,,
Working Capital,5562307000.0,5420938000.0,5071347000.0,4702022000.0,4337146000.0,,
Net Tangible Assets,9208280000.0,9021786000.0,8606422000.0,8196176000.0,7723504000.0,,
Capital Lease Obligations,96136000.0,99936000.0,103739000.0,101060000.0,119397000.0,,
Common Stock Equity,9789045000.0,9600157000.0,9187033000.0,8781193000.0,8301257000.0,,
Total Capitalization,9789045000.0,9600157000.0,9187033000.0,8781193000.0,8301257000.0,,
Total Equity Gross Minority Interest,9807234000.0,9619111000.0,9207491000.0,8802697000.0,8324032000.0,,
Minority Interest,18189000.0,18954000.0,20458000.0,21504000.0,22775000.0,,
Stockholders Equity,9789045000.0,9600157000.0,9187033000.0,8781193000.0,8301257000.0,,
Gains Losses Not Affecting Retained Earnings,-87291000.0,-120076000.0,-120283000.0,-113300000.0,-171560000.0,,
Other Equity Adjustments,-87291000.0,-120076000.0,-120283000.0,-113300000.0,-171560000.0,,
Retained Earnings,8634076000.0,8495453000.0,8093069000.0,7698639000.0,7292904000.0,,
Additional Paid In Capital,1242164000.0,1224683000.0,1214150000.0,1195757000.0,1179816000.0,,
Capital Stock,96000.0,97000.0,97000.0,97000.0,97000.0,,
Common Stock,96000.0,97000.0,97000.0,97000.0,97000.0,,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,787728000.0,961903000.0,883411000.0,869525000.0,863315000.0,,
Total Non Current Liabilities Net Minority Interest,173855000.0,180707000.0,200130000.0,212393000.0,233678000.0,,
Other Non Current Liabilities,,,,,,,24544000.0
Tradeand Other Payables Non Current,6786000.0,12802000.0,35635000.0,36574000.0,44091000.0,,
Non Current Deferred Liabilities,87625000.0,85839000.0,80625000.0,94551000.0,92886000.0,,
Non Current Deferred Taxes Liabilities,87625000.0,85839000.0,80625000.0,94551000.0,92886000.0,,
Long Term Debt And Capital Lease Obligation,79444000.0,82066000.0,83870000.0,81268000.0,96701000.0,,
