period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.63461,0.54,0.74,0.6,6,0.0577
+1q,0.53458,0.502,0.59,0.46,5,0.16209999
0y,2.29119,2.0,2.46,2.1,9,0.091000006
+1y,2.5863,2.16,2.97,2.29119,9,0.1288
