period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,2.29215,2.1,2.46,1.9,11,0.20639999
+1q,2.53719,2.46,2.71759,2.13,11,0.1912
0y,10.50433,9.8,12.46,8.74,12,0.2019
+1y,11.14764,10.6,11.6,10.50433,13,0.0612
