period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.73441,0.67,1.95201,1.76,13,-0.0145000005
+1q,1.23843,0.5,1.38,1.25,13,-0.0093
0y,6.70157,6.63,6.79,6.31,21,0.0621
+1y,7.15852,7.0733,7.28,6.70157,20,0.0682
