,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,42372899.159664,25103966.114748,15160478.288232,-15816576.75331
Tax Rate For Calcs,0.112395,0.113593,0.091882,0.073565
Normalized EBITDA,16673000000.0,14776000000.0,13700000000.0,12575000000.0
Total Unusual Items,377000000.0,221000000.0,165000000.0,-215000000.0
Total Unusual Items Excluding Goodwill,377000000.0,221000000.0,165000000.0,-215000000.0
Net Income From Continuing Operation Net Minority Interest,4967000000.0,4514000000.0,4296000000.0,3873000000.0
Reconciled Depreciation,7704000000.0,6419000000.0,6084000000.0,5843000000.0
Reconciled Cost Of Revenue,14359000000.0,14534000000.0,14473000000.0,15035000000.0
EBITDA,17050000000.0,14997000000.0,13865000000.0,12360000000.0
EBIT,9346000000.0,8578000000.0,7781000000.0,6517000000.0
Net Interest Income,-3583000000.0,-3321000000.0,-2985000000.0,-2412000000.0
Interest Expense,3634000000.0,3384000000.0,3014000000.0,2439000000.0
Interest Income,51000000.0,63000000.0,29000000.0,27000000.0
Normalized Income,4632372899.159664,4318103966.114748,4146160478.288232,4072183423.24669
Net Income From Continuing And Discontinued Operation,4968000000.0,4524000000.0,2841000000.0,2550000000.0
Total Expenses,23660000000.0,22419000000.0,21957000000.0,22344000000.0
Total Operating Income As Reported,8626000000.0,7926000000.0,7070000000.0,6012000000.0
Diluted Average Shares,777000000.0,772000000.0,771000000.0,770000000.0
Basic Average Shares,777000000.0,772000000.0,771000000.0,770000000.0
Diluted EPS,6.31,5.71,3.54,3.33
Basic EPS,6.31,5.71,3.54,3.33
Diluted NI Availto Com Stockholders,4912000000.0,4402000000.0,2735000000.0,2444000000.0
Net Income Common Stockholders,4912000000.0,4402000000.0,2735000000.0,2444000000.0
Otherunder Preferred Stock Dividend,0.0,16000000.0,0.0,0.0
Preferred Stock Dividends,56000000.0,106000000.0,106000000.0,106000000.0
Net Income,4968000000.0,4524000000.0,2841000000.0,2550000000.0
Minority Interests,-103000000.0,-90000000.0,-33000000.0,95000000.0
Net Income Including Noncontrolling Interests,5071000000.0,4614000000.0,2874000000.0,2455000000.0
Net Income Discontinuous Operations,1000000.0,10000000.0,-1455000000.0,-1323000000.0
Net Income Continuous Operations,5070000000.0,4604000000.0,4329000000.0,3778000000.0
Tax Provision,642000000.0,590000000.0,438000000.0,300000000.0
Pretax Income,5712000000.0,5194000000.0,4767000000.0,4078000000.0
Other Income Expense,718000000.0,577000000.0,649000000.0,66000000.0
Other Non Operating Income Expenses,290000000.0,365000000.0,371000000.0,168000000.0
Special Income Charges,377000000.0,221000000.0,165000000.0,-215000000.0
Gain On Sale Of Ppe,45000000.0,26000000.0,52000000.0,22000000.0
Other Special Charges,-328000000.0,-233000000.0,-198000000.0,-197000000.0
Write Off,-4000000.0,38000000.0,85000000.0,434000000.0
Earnings From Equity Interest,51000000.0,-9000000.0,113000000.0,113000000.0
Net Non Operating Interest Income Expense,-3583000000.0,-3321000000.0,-2985000000.0,-2412000000.0
Interest Expense Non Operating,3634000000.0,3384000000.0,3014000000.0,2439000000.0
Interest Income Non Operating,51000000.0,63000000.0,29000000.0,27000000.0
Operating Income,8577000000.0,7938000000.0,7103000000.0,6424000000.0
Operating Expense,7921000000.0,7259000000.0,6653000000.0,6552000000.0
Other Taxes,1597000000.0,1466000000.0,1400000000.0,1466000000.0
Depreciation Amortization Depletion Income Statement,6324000000.0,5793000000.0,5253000000.0,5086000000.0
Depreciation And Amortization In Income Statement,6324000000.0,5793000000.0,5253000000.0,5086000000.0
Gross Profit,16498000000.0,15197000000.0,13756000000.0,12976000000.0
Cost Of Revenue,15739000000.0,15160000000.0,15304000000.0,15792000000.0
Total Revenue,32237000000.0,30357000000.0,29060000000.0,28768000000.0
Operating Revenue,32237000000.0,30357000000.0,29060000000.0,28768000000.0
