period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,2.15404,0.4128,2.89,2.9,18,-0.2572
+1q,1.10887,0.61,1.55431,-0.16,18,7.9304
0y,2.99205,2.47,3.504,2.08,20,0.4385
+1y,4.07664,3.34,5.639,2.99205,20,0.3625
