period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,3087268240,2850875670,3438800000,6,2846874000,0.0844
+1q,3555428370,3433000000,3696480550,6,3328849000,0.0681
0y,13883252650,12914000000,14465440000,17,12946686000,0.0723
+1y,15000250560,13456000000,16115880000,17,13883252650,0.0805
