period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.22841,1.19,1.27,1.09,11,0.127
+1q,1.31895,1.27,1.35,1.2,10,0.0991
0y,4.88745,4.84,4.93,4.4,13,0.1108
+1y,5.42466,5.27323,5.58,4.88745,12,0.1099
