period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.06917,1.01,1.14,1.03,12,0.038
+1q,1.123,1.09,1.18,1.08,10,0.0398
0y,4.45674,4.35,4.64,4.26,15,0.0462
+1y,3.77857,3.05,4.39,3.27333,7,0.15439999
