,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Free Cash Flow,1524000000.0,599000000.0,356000000.0,4360000000.0,1038000000.0,,
Repurchase Of Capital Stock,-933000000.0,-854000000.0,-746000000.0,-752000000.0,-717000000.0,,
Repayment Of Debt,,,-500000000.0,0.0,0.0,0.0,0.0
Issuance Of Debt,20000000.0,166000000.0,65000000.0,145000000.0,134000000.0,,
Capital Expenditure,-46000000.0,-38000000.0,-25000000.0,-35000000.0,-31000000.0,,
End Cash Position,6783000000.0,6943000000.0,9481000000.0,10184000000.0,5342000000.0,,
Beginning Cash Position,6943000000.0,9481000000.0,10184000000.0,5342000000.0,8034000000.0,,
Effect Of Exchange Rate Changes,7000000.0,-1000000.0,-1000000.0,16000000.0,-12000000.0,,
Changes In Cash,-167000000.0,-2537000000.0,-702000000.0,4826000000.0,-2680000000.0,,
Financing Cash Flow,-1037000000.0,-4372000000.0,142000000.0,847000000.0,-3260000000.0,,
Cash Flow From Continuing Financing Activities,-1037000000.0,-4372000000.0,142000000.0,847000000.0,-3260000000.0,,
Net Other Financing Charges,188000000.0,-3405000000.0,1489000000.0,1658000000.0,-2456000000.0,,
Proceeds From Stock Option Exercised,29000000.0,62000000.0,135000000.0,88000000.0,79000000.0,,
Cash Dividends Paid,-341000000.0,-341000000.0,-301000000.0,-292000000.0,-300000000.0,,
Common Stock Dividend Paid,-341000000.0,-341000000.0,-301000000.0,-292000000.0,-300000000.0,,
Net Common Stock Issuance,-933000000.0,-854000000.0,-746000000.0,-752000000.0,-717000000.0,,
Common Stock Payments,-933000000.0,-854000000.0,-746000000.0,-752000000.0,-717000000.0,,
Net Issuance Payments Of Debt,20000000.0,166000000.0,-435000000.0,145000000.0,134000000.0,,
Net Short Term Debt Issuance,,,0.0,,,,
Short Term Debt Payments,,,0.0,,,,
Net Long Term Debt Issuance,20000000.0,166000000.0,-435000000.0,145000000.0,134000000.0,,
Long Term Debt Payments,,,-500000000.0,0.0,0.0,0.0,-125000000.0
Long Term Debt Issuance,20000000.0,166000000.0,65000000.0,145000000.0,134000000.0,,
Investing Cash Flow,-700000000.0,1198000000.0,-1225000000.0,-416000000.0,-489000000.0,,
Cash Flow From Continuing Investing Activities,-700000000.0,1198000000.0,-1225000000.0,-416000000.0,-489000000.0,,
Net Other Investing Changes,-1194000000.0,-464000000.0,-355000000.0,270000000.0,-1059000000.0,,
Net Investment Purchase And Sale,540000000.0,1700000000.0,-661000000.0,-651000000.0,601000000.0,,
Sale Of Investment,554000000.0,1801000000.0,622000000.0,108000000.0,616000000.0,,
Purchase Of Investment,-14000000.0,-101000000.0,-1283000000.0,-759000000.0,-15000000.0,,
Net Business Purchase And Sale,,,,,,,-83000000.0
Purchase Of Business,,,,,,,-83000000.0
Net PPE Purchase And Sale,-46000000.0,-38000000.0,15000000.0,-35000000.0,-31000000.0,,
Purchase Of PPE,-46000000.0,-38000000.0,15000000.0,-35000000.0,-31000000.0,,
Operating Cash Flow,1570000000.0,637000000.0,381000000.0,4395000000.0,1069000000.0,,
Cash Flow From Continuing Operating Activities,1570000000.0,637000000.0,381000000.0,4395000000.0,1069000000.0,,
Change In Working Capital,13000000.0,-636000000.0,-573000000.0,922000000.0,-17000000.0,,
Change In Other Working Capital,307000000.0,-353000000.0,167000000.0,57000000.0,342000000.0,,
Change In Other Current Liabilities,94000000.0,1000000.0,-20000000.0,-41000000.0,61000000.0,,
Change In Payables And Accrued Expense,345000000.0,-135000000.0,-818000000.0,550000000.0,416000000.0,,
Change In Payable,345000000.0,-135000000.0,-818000000.0,550000000.0,416000000.0,,
Change In Account Payable,266000000.0,-135000000.0,-212000000.0,-34000000.0,394000000.0,,
Change In Tax Payable,,,,584000000.0,10000000.0,12000000.0,-429000000.0
Change In Income Tax Payable,,,,584000000.0,10000000.0,12000000.0,-429000000.0
Change In Prepaid Assets,-85000000.0,-119000000.0,-56000000.0,-19000000.0,-181000000.0,,
Change In Receivables,-648000000.0,-30000000.0,154000000.0,375000000.0,-655000000.0,,
Changes In Account Receivables,-596000000.0,-49000000.0,196000000.0,293000000.0,-591000000.0,,
Other Non Cash Items,-50000000.0,17000000.0,32000000.0,99000000.0,-11000000.0,,
Stock Based Compensation,521000000.0,543000000.0,490000000.0,469000000.0,498000000.0,,
Deferred Tax,79000000.0,58000000.0,-157000000.0,-51000000.0,-136000000.0,,
Deferred Income Tax,79000000.0,58000000.0,-157000000.0,-51000000.0,-136000000.0,,
Depreciation Amortization Depletion,209000000.0,209000000.0,208000000.0,201000000.0,199000000.0,,
Depreciation And Amortization,209000000.0,209000000.0,208000000.0,201000000.0,199000000.0,,
Amortization Cash Flow,165000000.0,165000000.0,165000000.0,158000000.0,157000000.0,,
Amortization Of Intangibles,165000000.0,165000000.0,165000000.0,158000000.0,157000000.0,,
Depreciation,44000000.0,44000000.0,43000000.0,43000000.0,42000000.0,,
Net Income From Continuing Operations,693000000.0,446000000.0,381000000.0,2820000000.0,471000000.0,,
