,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Ordinary Shares Number,703000000.0,692000000.0,667900000.0,665900000.0,660400000.0,,
Share Issued,703000000.0,692000000.0,667900000.0,665900000.0,660400000.0,,
Total Debt,372000000.0,346000000.0,338200000.0,728900000.0,896800000.0,,
Tangible Book Value,1213000000.0,3375000000.0,2495100000.0,2449500000.0,1553100000.0,,
Invested Capital,9393000000.0,8665000000.0,7824400000.0,7613700000.0,6909100000.0,,
Working Capital,360000000.0,-108000000.0,-465200000.0,-806600000.0,-1212400000.0,,
Net Tangible Assets,1213000000.0,3375000000.0,2495100000.0,2449500000.0,1553100000.0,,
Capital Lease Obligations,372000000.0,346000000.0,338200000.0,345700000.0,363000000.0,,
Common Stock Equity,9393000000.0,8665000000.0,7824400000.0,7230500000.0,6375300000.0,,
Total Capitalization,9393000000.0,8665000000.0,7824400000.0,7230500000.0,6375300000.0,,
Total Equity Gross Minority Interest,9393000000.0,8665000000.0,7824400000.0,7230500000.0,6375300000.0,,
Stockholders Equity,9393000000.0,8665000000.0,7824400000.0,7230500000.0,6375300000.0,,
Gains Losses Not Affecting Retained Earnings,46000000.0,67000000.0,48400000.0,48000000.0,-13900000.0,,
Other Equity Adjustments,46000000.0,67000000.0,48400000.0,48000000.0,-13900000.0,,
Retained Earnings,3250000000.0,2818000000.0,2484100000.0,2230300000.0,1968200000.0,,
Capital Stock,6097000000.0,5780000000.0,5291900000.0,4952200000.0,4421000000.0,,
Common Stock,6097000000.0,5780000000.0,5291900000.0,4952200000.0,4421000000.0,,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,15586000000.0,14871000000.0,15751800000.0,14772300000.0,14576400000.0,,
Total Non Current Liabilities Net Minority Interest,7577000000.0,7453000000.0,7763800000.0,7066700000.0,7024200000.0,,
Other Non Current Liabilities,949000000.0,913000000.0,886800000.0,878000000.0,882600000.0,,
Non Current Deferred Liabilities,6256000000.0,6194000000.0,6538800000.0,5843000000.0,5778600000.0,,
Non Current Deferred Revenue,6181000000.0,6098000000.0,6449700000.0,5816800000.0,5662500000.0,,
Non Current Deferred Taxes Liabilities,75000000.0,96000000.0,89100000.0,26200000.0,116100000.0,,
Long Term Debt And Capital Lease Obligation,372000000.0,346000000.0,338200000.0,345700000.0,363000000.0,,
Long Term Capital Lease Obligation,372000000.0,346000000.0,338200000.0,345700000.0,363000000.0,,
Current Liabilities,8009000000.0,7418000000.0,7988000000.0,7705600000.0,7552200000.0,,
Current Deferred Liabilities,6248000000.0,6132000000.0,6302200000.0,5756800000.0,5599900000.0,,
Current Deferred Revenue,6248000000.0,6132000000.0,6302200000.0,5756800000.0,5599900000.0,,
Current Debt And Capital Lease Obligation,,,,383200000.0,533800000.0,645800000.0,963900000.0
Current Debt,,,,383200000.0,533800000.0,645800000.0,963900000.0
Other Current Borrowings,,,,383200000.0,533800000.0,645800000.0,963900000.0
Pensionand Other Post Retirement Benefit Plans Current,562000000.0,398000000.0,607600000.0,506200000.0,491600000.0,,
Payables And Accrued Expenses,1199000000.0,888000000.0,1078200000.0,1059400000.0,926900000.0,,
Current Accrued Expenses,937000000.0,665000000.0,846000000.0,824600000.0,777600000.0,,
Payables,262000000.0,223000000.0,232200000.0,234800000.0,149300000.0,,
Accounts Payable,262000000.0,223000000.0,232200000.0,234800000.0,149300000.0,,
Total Assets,24979000000.0,23536000000.0,23576200000.0,22002800000.0,20951700000.0,,
Total Non Current Assets,16610000000.0,16226000000.0,16053400000.0,15103800000.0,14611900000.0,,
Other Non Current Assets,427000000.0,390000000.0,421800000.0,396900000.0,364700000.0,,
Non Current Deferred Assets,2918000000.0,2962000000.0,3010100000.0,2980400000.0,2970300000.0,,
Non Current Deferred Taxes Assets,2392000000.0,2416000000.0,2424200000.0,2452200000.0,2446900000.0,,
Non Current Accounts Receivable,870000000.0,855000000.0,1002300000.0,1068900000.0,1163800000.0,,
Investments And Advances,3362000000.0,5982000000.0,5555600000.0,5152300000.0,4559800000.0,,
Investmentin Financial Assets,3362000000.0,5982000000.0,5555600000.0,5152300000.0,4559800000.0,,
Available For Sale Securities,3362000000.0,5982000000.0,5555600000.0,5152300000.0,4559800000.0,,
Goodwill And Other Intangible Assets,8180000000.0,5290000000.0,5329300000.0,4781000000.0,4822200000.0,,
Other Intangible Assets,1249000000.0,723000000.0,762700000.0,730200000.0,771400000.0,,
Goodwill,6931000000.0,4567000000.0,4566600000.0,4050800000.0,4050800000.0,,
Net PPE,853000000.0,747000000.0,734300000.0,724300000.0,731100000.0,,
Accumulated Depreciation,,,-638600000.0,,,,-559200000.0
Gross PPE,853000000.0,747000000.0,1372900000.0,724300000.0,731100000.0,,
Leases,,,324700000.0,,,,274000000.0
Other Properties,853000000.0,747000000.0,393700000.0,724300000.0,731100000.0,,
Machinery Furniture Equipment,,,567300000.0,,,,514700000.0
Land And Improvements,,,87200000.0,,,,87200000.0
Properties,,,0.0,,,,0.0
Current Assets,8369000000.0,7310000000.0,7522800000.0,6899000000.0,6339800000.0,,
