period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.36749,1.12,1.64,0.4,16,2.4187
+1q,4.99106,4.48,5.65,4.24,18,0.17709999
0y,19.35163,16.9,21.66,15.86,25,0.2202
+1y,22.95753,19.26,30.49,19.35163,23,0.1863
