,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,11591252.427883,-7356897.875608,11544000.0,-14014000.0
Tax Rate For Calcs,0.221207,0.214487,0.24,0.245
Normalized EBITDA,2305100000.0,2015100000.0,1996200000.0,1587900000.0
Total Unusual Items,52400000.0,-34300000.0,48100000.0,-57200000.0
Total Unusual Items Excluding Goodwill,52400000.0,-34300000.0,48100000.0,-57200000.0
Net Income From Continuing Operation Net Minority Interest,1081200000.0,919500000.0,944000000.0,594200000.0
Reconciled Depreciation,727700000.0,617500000.0,603100000.0,573400000.0
Reconciled Cost Of Revenue,5766500000.0,5418100000.0,5833400000.0,5757500000.0
EBITDA,2357500000.0,1980800000.0,2044300000.0,1530700000.0
EBIT,1629800000.0,1363300000.0,1441200000.0,957300000.0
Net Interest Income,-226300000.0,-170300000.0,-179600000.0,-168400000.0
Interest Expense,239700000.0,191200000.0,196100000.0,169200000.0
Interest Income,13400000.0,20900000.0,16500000.0,800000.0
Normalized Income,1040391252.427883,946443102.124392,907444000.0,637386000.0
Net Income From Continuing And Discontinued Operation,1076700000.0,911900000.0,933200000.0,575600000.0
Total Expenses,6373900000.0,6018900000.0,6402600000.0,6306600000.0
Total Operating Income As Reported,1619600000.0,1364500000.0,1427400000.0,951400000.0
Diluted Average Shares,132700000.0,133100000.0,133700000.0,133600000.0
Basic Average Shares,132000000.0,132300000.0,133000000.0,133000000.0
Diluted EPS,8.11,6.85,6.98,4.31
Basic EPS,8.16,6.89,7.02,4.33
Diluted NI Availto Com Stockholders,1076700000.0,911900000.0,933200000.0,575600000.0
Net Income Common Stockholders,1076700000.0,911900000.0,933200000.0,575600000.0
Net Income,1076700000.0,911900000.0,933200000.0,575600000.0
Minority Interests,-1400000.0,-1200000.0,-1700000.0,-900000.0
Net Income Including Noncontrolling Interests,1078100000.0,913100000.0,934900000.0,576500000.0
Net Income Discontinuous Operations,-4500000.0,-7600000.0,-10800000.0,-18600000.0
Net Income Continuous Operations,1082600000.0,920700000.0,945700000.0,595100000.0
Tax Provision,307500000.0,251400000.0,299400000.0,193000000.0
Pretax Income,1390100000.0,1172100000.0,1245100000.0,788100000.0
Other Income Expense,49200000.0,-56400000.0,45400000.0,-52100000.0
Other Non Operating Income Expenses,-3200000.0,-22100000.0,-2700000.0,5100000.0
Special Income Charges,52400000.0,-34300000.0,48100000.0,-57200000.0
Gain On Sale Of Ppe,52400000.0,52300000.0,76400000.0,10700000.0
Impairment Of Capital Assets,0.0,86600000.0,28300000.0,67900000.0
Net Non Operating Interest Income Expense,-226300000.0,-170300000.0,-179600000.0,-168400000.0
Interest Expense Non Operating,239700000.0,191200000.0,196100000.0,169200000.0
Interest Income Non Operating,13400000.0,20900000.0,16500000.0,800000.0
Operating Income,1567200000.0,1398800000.0,1379300000.0,1008600000.0
Operating Expense,607400000.0,600800000.0,569200000.0,549100000.0
Other Operating Expenses,43300000.0,69700000.0,26400000.0,34000000.0
Selling General And Administration,564100000.0,531100000.0,542800000.0,515100000.0
Gross Profit,2174600000.0,1999600000.0,1948500000.0,1557700000.0
Cost Of Revenue,5766500000.0,5418100000.0,5833400000.0,5757500000.0
Total Revenue,7941100000.0,7417700000.0,7781900000.0,7315200000.0
Operating Revenue,6932800000.0,6429500000.0,6778500000.0,6354900000.0
