,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.195676,0.151784,0.115,0.092627
Net Income From Continuing Operation Net Minority Interest,3646000000.0,5443000000.0,4659000000.0,4418000000.0
EBIT,4753000000.0,6614000000.0,5457000000.0,5095000000.0
Net Interest Income,-220000000.0,-197000000.0,-195000000.0,-226000000.0
Interest Expense,220000000.0,197000000.0,195000000.0,226000000.0
Normalized Income,3646000000.0,5443000000.0,4659000000.0,4418000000.0
Net Income From Continuing And Discontinued Operation,3646000000.0,5443000000.0,4659000000.0,4418000000.0
Total Expenses,12822000000.0,12711000000.0,13579000000.0,14282000000.0
Diluted Average Shares,534878000.0,565015000.0,598745000.0,637655000.0
Basic Average Shares,532885000.0,562492000.0,596173000.0,634816000.0
Diluted EPS,6.82,9.63,7.78,6.93
Basic EPS,6.84,9.68,7.81,6.96
Diluted NI Availto Com Stockholders,3646000000.0,5443000000.0,4659000000.0,4418000000.0
Net Income Common Stockholders,3646000000.0,5443000000.0,4659000000.0,4418000000.0
Net Income,3646000000.0,5443000000.0,4659000000.0,4418000000.0
Net Income Including Noncontrolling Interests,3646000000.0,5443000000.0,4659000000.0,4418000000.0
Net Income Continuous Operations,3646000000.0,5443000000.0,4659000000.0,4418000000.0
Tax Provision,887000000.0,974000000.0,603000000.0,451000000.0
Pretax Income,4533000000.0,6417000000.0,5262000000.0,4869000000.0
Other Income Expense,112000000.0,100000000.0,177000000.0,220000000.0
Net Non Operating Interest Income Expense,-220000000.0,-197000000.0,-195000000.0,-226000000.0
Interest Expense Non Operating,220000000.0,197000000.0,195000000.0,226000000.0
Other Operating Expenses,191000000.0,201000000.0,140000000.0,11000000.0
Total Revenue,17355000000.0,19128000000.0,18841000000.0,19151000000.0
Operating Revenue,17355000000.0,19128000000.0,18841000000.0,19151000000.0
Loss Adjustment Expense,10546000000.0,10464000000.0,11376000000.0,12136000000.0
Net Policyholder Benefits And Claims,10546000000.0,10464000000.0,11376000000.0,12136000000.0
Policyholder Benefits Gross,10806000000.0,10617000000.0,11512000000.0,12758000000.0
Policyholder Benefits Ceded,260000000.0,153000000.0,136000000.0,355000000.0
