period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,4315000000,4228000000,4374000000,3,4319000000,-0.00090000004
+1q,4305333330,4240000000,4373000000,3,4536000000,-0.0509
0y,17259607030,16919910179,17500000000,5,17537000000,-0.015800001
+1y,17511905340,17108736180,17758000000,5,17259607030,0.0146
