,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,2555000000.0,2707000000.0,3190000000.0,3879000000.0
Repurchase Of Capital Stock,-3530000000.0,-2800000000.0,-2801000000.0,-2401000000.0
Repayment Of Debt,-84000000.0,-194000000.0,0.0,-1416000000.0
Issuance Of Debt,1039000000.0,823000000.0,204000000.0,1277000000.0
Issuance Of Capital Stock,8000000.0,14000000.0,17000000.0,17000000.0
Interest Paid Supplemental Data,197000000.0,180000000.0,185000000.0,211000000.0
Income Tax Paid Supplemental Data,1165000000.0,1367000000.0,1569000000.0,961000000.0
End Cash Position,6245000000.0,6229000000.0,4306000000.0,3943000000.0
Beginning Cash Position,6229000000.0,4306000000.0,3943000000.0,5051000000.0
Effect Of Exchange Rate Changes,-31000000.0,-79000000.0,79000000.0,104000000.0
Changes In Cash,47000000.0,2002000000.0,284000000.0,-1212000000.0
Financing Cash Flow,-4069000000.0,-3486000000.0,-3723000000.0,-3551000000.0
Cash Flow From Continuing Financing Activities,-4069000000.0,-3486000000.0,-3723000000.0,-3551000000.0
Net Other Financing Charges,-304000000.0,-242000000.0,-177000000.0,-49000000.0
Cash Dividends Paid,-1198000000.0,-1087000000.0,-966000000.0,-979000000.0
Common Stock Dividend Paid,-1198000000.0,-1087000000.0,-966000000.0,-979000000.0
Net Common Stock Issuance,-3522000000.0,-2786000000.0,-2784000000.0,-2384000000.0
Common Stock Payments,-3530000000.0,-2800000000.0,-2801000000.0,-2401000000.0
Common Stock Issuance,8000000.0,14000000.0,17000000.0,17000000.0
Net Issuance Payments Of Debt,955000000.0,629000000.0,204000000.0,-139000000.0
Net Long Term Debt Issuance,955000000.0,629000000.0,204000000.0,-139000000.0
Long Term Debt Payments,-84000000.0,-194000000.0,0.0,-1416000000.0
Long Term Debt Issuance,1039000000.0,823000000.0,204000000.0,1277000000.0
Investing Cash Flow,1561000000.0,2781000000.0,817000000.0,-1540000000.0
Cash Flow From Continuing Investing Activities,1561000000.0,2781000000.0,817000000.0,-1540000000.0
Net Other Investing Changes,1863000000.0,841000000.0,-550000000.0,-561000000.0
Net Investment Purchase And Sale,-985000000.0,881000000.0,722000000.0,728000000.0
Sale Of Investment,11543000000.0,7990000000.0,4297000000.0,4991000000.0
Purchase Of Investment,-12528000000.0,-7109000000.0,-3575000000.0,-4263000000.0
Operating Cash Flow,2555000000.0,2707000000.0,3190000000.0,3879000000.0
Cash Flow From Continuing Operating Activities,2555000000.0,2707000000.0,3190000000.0,3879000000.0
Change In Working Capital,-1159000000.0,-644000000.0,-1652000000.0,222000000.0
Change In Payables And Accrued Expense,-278000000.0,-393000000.0,-967000000.0,-509000000.0
Change In Payable,-278000000.0,-393000000.0,-967000000.0,-509000000.0
Change In Tax Payable,-278000000.0,-393000000.0,-967000000.0,-509000000.0
Change In Income Tax Payable,-278000000.0,-393000000.0,-967000000.0,-509000000.0
Change In Receivables,-66000000.0,51000000.0,-133000000.0,5000000.0
Other Non Cash Items,-82000000.0,-415000000.0,1183000000.0,-125000000.0
Amortization Of Securities,-231000000.0,-205000000.0,-270000000.0,-262000000.0
Operating Gains Losses,86000000.0,-1835000000.0,-1261000000.0,-1525000000.0
Gain Loss On Investment Securities,350000000.0,462000000.0,-85000000.0,341000000.0
Net Foreign Currency Exchange Gain Loss,-264000000.0,-2297000000.0,-1176000000.0,-1866000000.0
Net Income From Continuing Operations,3646000000.0,5443000000.0,4659000000.0,4418000000.0
