period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.48667,1.32,1.8,1.454,3,0.0225
+1q,1.60667,1.49,1.82,1.3566,3,0.1843
0y,6.6,6.08,7.52,5.9106,4,0.1166
+1y,6.9125,6.22,7.92,6.6,4,0.0473
