period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,17587119660,13642000000,19014000000,17,12728500000,0.38169998
+1q,19590843710,17324000000,20475000000,17,15557700000,0.2592
0y,82055778880,80083000000,88577000000,26,65179000000,0.2589
+1y,94870528500,88453000000,103655000000,27,82055778880,0.15619999
