period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,6478879650,6223500000,6690000000,28,5956000000,0.087799996
+1q,7291183120,7117000000,7530000000,28,6843000000,0.0655
0y,28741014490,28140000000,29450000000,33,26885000000,0.069
+1y,30355376410,28542877480,31284800000,34,28741014490,0.056199998
