,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.243,0.238,0.226,0.2221
Normalized EBITDA,4136000000.0,4169000000.0,3701000000.0,3252000000.0
Net Income From Continuing Operation Net Minority Interest,1828000000.0,1955000000.0,1770000000.0,1359000000.0
Reconciled Depreciation,1086000000.0,997000000.0,889000000.0,881000000.0
Reconciled Cost Of Revenue,66401000000.0,64236000000.0,62370000000.0,56316000000.0
EBITDA,4136000000.0,4169000000.0,3701000000.0,3252000000.0
EBIT,3050000000.0,3172000000.0,2812000000.0,2371000000.0
Net Interest Income,-635000000.0,-607000000.0,-527000000.0,-624000000.0
Interest Expense,635000000.0,607000000.0,527000000.0,624000000.0
Normalized Income,1828000000.0,1955000000.0,1770000000.0,1359000000.0
Net Income From Continuing And Discontinued Operation,1828000000.0,1955000000.0,1770000000.0,1359000000.0
Total Expenses,78282000000.0,75642000000.0,73286000000.0,66290000000.0
Total Operating Income As Reported,3088000000.0,3202000000.0,3039000000.0,2346000000.0
Diluted Average Shares,489825648.0,503096086.0,509719756.0,514005827.0
Basic Average Shares,488144333.0,501238422.0,507362913.0,510630645.0
Diluted EPS,3.73,3.89,3.47,2.64
Basic EPS,3.74,3.9,3.49,2.66
Diluted NI Availto Com Stockholders,1828000000.0,1955000000.0,1770000000.0,1359000000.0
Net Income Common Stockholders,1828000000.0,1955000000.0,1770000000.0,1359000000.0
Net Income,1828000000.0,1955000000.0,1770000000.0,1359000000.0
Net Income Including Noncontrolling Interests,1828000000.0,1955000000.0,1770000000.0,1359000000.0
Net Income Continuous Operations,1828000000.0,1955000000.0,1770000000.0,1359000000.0
Tax Provision,587000000.0,610000000.0,515000000.0,388000000.0
Pretax Income,2415000000.0,2565000000.0,2285000000.0,1747000000.0
Other Income Expense,-38000000.0,-30000000.0,-227000000.0,25000000.0
Other Non Operating Income Expenses,-38000000.0,-30000000.0,-227000000.0,25000000.0
Net Non Operating Interest Income Expense,-635000000.0,-607000000.0,-527000000.0,-624000000.0
Interest Expense Non Operating,635000000.0,607000000.0,527000000.0,624000000.0
Operating Income,3088000000.0,3202000000.0,3039000000.0,2346000000.0
Operating Expense,11881000000.0,11406000000.0,10916000000.0,9974000000.0
Other Operating Expenses,11881000000.0,11406000000.0,10916000000.0,9974000000.0
Gross Profit,14969000000.0,14608000000.0,13955000000.0,12320000000.0
Cost Of Revenue,66401000000.0,64236000000.0,62370000000.0,56316000000.0
Total Revenue,81370000000.0,78844000000.0,76325000000.0,68636000000.0
Operating Revenue,78721000000.0,76344000000.0,73929000000.0,66517000000.0
