period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,1486877670,1481283000,1521398000,28,1445700000,0.028499998
+1q,1526603990,1454300000,1588011000,27,1468700000,0.0394
0y,6285390070,6100000000,6473209000,31,5995400000,0.0484
+1y,6919771530,6597000000,7156000000,30,6285390070,0.1009
