,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.368,0.355,0.276,0.283
Normalized EBITDA,41417000000.0,45811000000.0,47815000000.0,65485000000.0
Net Income From Continuing Operation Net Minority Interest,12299000000.0,17661000000.0,21369000000.0,35465000000.0
Reconciled Depreciation,20457000000.0,17711000000.0,17762000000.0,15295000000.0
Reconciled Cost Of Revenue,128346000000.0,136488000000.0,136522000000.0,161735000000.0
EBITDA,41417000000.0,45811000000.0,47815000000.0,65485000000.0
EBIT,20960000000.0,28100000000.0,30053000000.0,50190000000.0
Net Interest Income,-1217000000.0,-594000000.0,-469000000.0,-516000000.0
Interest Expense,1217000000.0,594000000.0,469000000.0,516000000.0
Normalized Income,12299000000.0,17661000000.0,21369000000.0,35465000000.0
Net Income From Continuing And Discontinued Operation,12299000000.0,17661000000.0,21369000000.0,35465000000.0
Total Expenses,167758000000.0,174497000000.0,170684000000.0,195767000000.0
Diluted Average Shares,1856000000.0,1816602000.0,1880307000.0,1940277000.0
Basic Average Shares,1849000000.0,1809583000.0,1872737000.0,1931486000.0
Diluted EPS,6.63,9.72,11.36,18.28
Basic EPS,6.65,9.76,11.41,18.36
Diluted NI Availto Com Stockholders,12299000000.0,17661000000.0,21369000000.0,35465000000.0
Net Income Common Stockholders,12299000000.0,17661000000.0,21369000000.0,35465000000.0
Net Income,12299000000.0,17661000000.0,21369000000.0,35465000000.0
Minority Interests,-186000000.0,-88000000.0,-42000000.0,-143000000.0
Net Income Including Noncontrolling Interests,12485000000.0,17749000000.0,21411000000.0,35608000000.0
Net Income Continuous Operations,12485000000.0,17749000000.0,21411000000.0,35608000000.0
Tax Provision,7258000000.0,9757000000.0,8173000000.0,14066000000.0
Pretax Income,19743000000.0,27506000000.0,29584000000.0,49674000000.0
Other Income Expense,4286000000.0,9183000000.0,3824000000.0,10240000000.0
Other Non Operating Income Expenses,1286000000.0,4587000000.0,-1307000000.0,1655000000.0
Earnings From Equity Interest,3000000000.0,4596000000.0,5131000000.0,8585000000.0
Net Non Operating Interest Income Expense,-1217000000.0,-594000000.0,-469000000.0,-516000000.0
Interest Expense Non Operating,1217000000.0,594000000.0,469000000.0,516000000.0
Operating Income,16674000000.0,18917000000.0,26229000000.0,39950000000.0
Operating Expense,39412000000.0,38009000000.0,34162000000.0,34032000000.0
Other Operating Expenses,29056000000.0,28459000000.0,25801000000.0,25688000000.0
Other Taxes,5230000000.0,4716000000.0,4220000000.0,4032000000.0
Selling General And Administration,5126000000.0,4834000000.0,4141000000.0,4312000000.0
Gross Profit,56086000000.0,56926000000.0,60391000000.0,73982000000.0
Cost Of Revenue,128346000000.0,136488000000.0,136522000000.0,161735000000.0
Total Revenue,184432000000.0,193414000000.0,196913000000.0,235717000000.0
Operating Revenue,184432000000.0,193414000000.0,196913000000.0,235717000000.0
