Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-09 00:00:00-04:00,675.5800170898438,676.0800170898438,657.3499755859375,664.1500244140625,2369700,0.0,0.0
2026-03-10 00:00:00-04:00,657.9500122070312,659.8900146484375,646.2000122070312,651.219970703125,1653000,0.0,0.0
2026-03-11 00:00:00-04:00,645.3200073242188,657.0,644.1300048828125,649.469970703125,1364000,0.0,0.0
2026-03-12 00:00:00-04:00,651.9500122070312,661.0,646.6300048828125,652.8300170898438,1411200,0.0,0.0
2026-03-13 00:00:00-04:00,652.6699829101562,660.0,640.5,646.0,1071300,0.0,0.0
2026-03-16 00:00:00-04:00,645.22998046875,651.5499877929688,639.0,645.2000122070312,1181000,0.0,0.0
2026-03-17 00:00:00-04:00,644.9600219726562,645.0,632.7899780273438,636.3300170898438,1388800,0.0,0.0
2026-03-18 00:00:00-04:00,641.1099853515625,645.8499755859375,636.4500122070312,642.280029296875,1026200,0.0,0.0
2026-03-19 00:00:00-04:00,639.0599975585938,640.0,623.75,637.510009765625,1540800,0.0,0.0
2026-03-20 00:00:00-04:00,635.8599853515625,638.510009765625,622.3699951171875,627.4299926757812,6511300,0.0,0.0
2026-03-23 00:00:00-04:00,629.0700073242188,629.6599731445312,610.6300048828125,616.25,1386600,0.0,0.0
2026-03-24 00:00:00-04:00,612.9500122070312,615.2999877929688,605.0,610.1699829101562,1078200,0.0,0.0
2026-03-25 00:00:00-04:00,612.5,626.9299926757812,612.4199829101562,624.2000122070312,1190300,0.0,0.0
2026-03-26 00:00:00-04:00,619.7999877929688,632.9199829101562,619.7999877929688,627.3300170898438,1262400,0.0,0.0
2026-03-27 00:00:00-04:00,625.7000122070312,631.4500122070312,613.6599731445312,615.8400268554688,1061100,0.0,0.0
2026-03-30 00:00:00-04:00,621.030029296875,623.3200073242188,593.8800048828125,598.5700073242188,1849300,0.0,0.0
2026-03-31 00:00:00-04:00,604.5,610.0,598.7000122070312,604.3900146484375,1327800,0.0,0.0
2026-04-01 00:00:00-04:00,608.8200073242188,619.0999755859375,606.1099853515625,617.6400146484375,1118100,0.0,0.0
2026-04-02 00:00:00-04:00,616.7000122070312,626.510009765625,616.010009765625,622.7899780273438,1116800,0.0,0.0
2026-04-06 00:00:00-04:00,623.1099853515625,637.9199829101562,621.3699951171875,637.9000244140625,1127400,0.0,0.0
2026-04-07 00:00:00-04:00,635.5999755859375,636.7999877929688,628.6099853515625,633.4299926757812,233668,0.0,0.0
