period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,9.02171,5.77,12.75,8.22,22,0.0975
+1q,10.59657,7.36,11.95,12.89,22,-0.17790002
0y,44.92652,32.31,49.79,44.31,28,0.0139
+1y,47.58308,38.31,59.71,39.22768,9,0.213
