period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.38969,1.28,1.44,0.91,17,0.52709997
+1q,1.52504,1.39,1.65,1.0,17,0.525
0y,5.35134,5.12,5.53,3.53,18,0.516
+1y,7.42421,6.51,8.86,5.35134,18,0.38740003
