period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,9090688820,8923200000,9362000000,26,8761600000,0.0376
+1q,9617514760,8963900000,9890200000,26,9456000000,0.0171
0y,38340626030,37056900000,39372000000,33,37184400000,0.0311
+1y,40295857020,37370000000,41574000000,33,38340626030,0.051
