period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.40652,0.35,0.47473,0.41,30,-0.0085
+1q,0.64755,0.58,0.79,0.5,30,0.2951
0y,2.29011,2.14,2.51,2.13,35,0.0752
+1y,2.95326,2.71,3.24,2.29011,36,0.28959998
