,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-20131568.0,-5547585.0,-88270.0,-10944.0
Tax Rate For Calcs,0.232,0.213,0.182,0.228
Normalized EBITDA,1445457000.0,1438450000.0,1344483000.0,1009445000.0
Total Unusual Items,-86774000.0,-26045000.0,-485000.0,-48000.0
Total Unusual Items Excluding Goodwill,-86774000.0,-26045000.0,-485000.0,-48000.0
Net Income From Continuing Operation Net Minority Interest,610124000.0,551440000.0,557414000.0,285477000.0
Reconciled Depreciation,476215000.0,565244000.0,552897000.0,553104000.0
Reconciled Cost Of Revenue,3056751000.0,2920541000.0,2555540000.0,2340396000.0
EBITDA,1358683000.0,1412405000.0,1343998000.0,1009397000.0
EBIT,882468000.0,847161000.0,791101000.0,456293000.0
Net Interest Income,-77859000.0,-133308000.0,-110835000.0,-83206000.0
Interest Expense,86261000.0,144351000.0,110835000.0,89490000.0
Interest Income,8402000.0,11043000.0,,6284000.0
Normalized Income,676766432.0,571937415.0,557810730.0,285514056.0
Net Income From Continuing And Discontinued Operation,614641000.0,378239000.0,107030000.0,243888000.0
Total Expenses,4498675000.0,4276538000.0,3744680000.0,3745540000.0
Total Operating Income As Reported,866641000.0,836118000.0,791101000.0,477815000.0
Diluted Average Shares,99069000.0,99359000.0,100246000.0,98326000.0
Basic Average Shares,98575000.0,98787000.0,99706000.0,97535000.0
Diluted EPS,6.2,3.81,1.07,2.48
Basic EPS,6.24,3.83,1.07,2.5
Diluted NI Availto Com Stockholders,614641000.0,378239000.0,107030000.0,243888000.0
Net Income Common Stockholders,614641000.0,378239000.0,107030000.0,243888000.0
Net Income,614641000.0,378239000.0,107030000.0,243888000.0
Minority Interests,-1433000.0,-1840000.0,1217000.0,1018000.0
Net Income Including Noncontrolling Interests,616074000.0,380079000.0,105813000.0,242870000.0
Net Income Discontinuous Operations,4517000.0,-173201000.0,-450384000.0,-41589000.0
Net Income Continuous Operations,611557000.0,553280000.0,556197000.0,284459000.0
Tax Provision,184650000.0,149530000.0,124069000.0,82344000.0
Pretax Income,796207000.0,702810000.0,680266000.0,366803000.0
Other Income Expense,-86774000.0,-26045000.0,-485000.0,-27854000.0
Other Non Operating Income Expenses,,,,-27806000.0
Special Income Charges,-86774000.0,-26045000.0,-485000.0,-48000.0
Gain On Sale Of Business,7425000.0,0.0,0.0,
Other Special Charges,48150000.0,,,
Impairment Of Capital Assets,,,490565000.0,0.0
Restructuring And Mergern Acquisition,46049000.0,26045000.0,485000.0,48000.0
Net Non Operating Interest Income Expense,-77859000.0,-133308000.0,-110835000.0,-83206000.0
Interest Expense Non Operating,86261000.0,144351000.0,110835000.0,89490000.0
Interest Income Non Operating,8402000.0,11043000.0,,6284000.0
Operating Income,960840000.0,862163000.0,791586000.0,477863000.0
Operating Expense,1441924000.0,1355997000.0,1189140000.0,1405144000.0
Research And Development,107648000.0,103679000.0,98477000.0,86663000.0
Selling General And Administration,1334276000.0,1252318000.0,1090663000.0,1318481000.0
Gross Profit,2402764000.0,2218160000.0,1980726000.0,1883007000.0
Cost Of Revenue,3056751000.0,2920541000.0,2555540000.0,2340396000.0
Total Revenue,5459515000.0,5138701000.0,4536266000.0,4223403000.0
Operating Revenue,5459515000.0,5138701000.0,4536266000.0,4223403000.0
