,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,777996000.0,612948000.0,394978000.0,397248000.0
Repurchase Of Capital Stock,-211321000.0,-11765000.0,-308565000.0,-55777000.0
Repayment Of Debt,-1164429000.0,-60000000.0,-247875000.0,-1437645000.0
Issuance Of Debt,,181486000.0,241657000.0,2000000000.0
Capital Expenditure,-370091000.0,-360326000.0,-361969000.0,-287563000.0
Interest Paid Supplemental Data,89401000.0,142167000.0,108470000.0,84696000.0
Income Tax Paid Supplemental Data,273611000.0,271274000.0,254661000.0,138382000.0
End Cash Position,171701000.0,207020000.0,208357000.0,348320000.0
Beginning Cash Position,207020000.0,208357000.0,348320000.0,220531000.0
Effect Of Exchange Rate Changes,185000.0,-2064000.0,-14862000.0,-6293000.0
Changes In Cash,-35504000.0,727000.0,-125101000.0,134082000.0
Financing Cash Flow,-1572364000.0,-85186000.0,-498718000.0,115830000.0
Cash Flow From Continuing Financing Activities,-1572364000.0,-85186000.0,-498718000.0,115830000.0
Net Other Financing Charges,-2208000.0,-4809000.0,-2265000.0,-47476000.0
Proceeds From Stock Option Exercised,25469000.0,10472000.0,1828000.0,10071000.0
Cash Dividends Paid,-219875000.0,-200570000.0,-183498000.0,-163169000.0
Common Stock Dividend Paid,-219875000.0,-200570000.0,-183498000.0,-163169000.0
Net Common Stock Issuance,-211321000.0,-11765000.0,-308565000.0,-55777000.0
Common Stock Payments,-211321000.0,-11765000.0,-308565000.0,-55777000.0
Net Issuance Payments Of Debt,-1164429000.0,121486000.0,-6218000.0,372181000.0
Net Short Term Debt Issuance,,181486000.0,241657000.0,-190174000.0
Short Term Debt Payments,,,,-190174000.0
Net Long Term Debt Issuance,-1164429000.0,121486000.0,-6218000.0,562355000.0
Long Term Debt Payments,-1164429000.0,-60000000.0,-247875000.0,-1437645000.0
Long Term Debt Issuance,,181486000.0,241657000.0,2000000000.0
Investing Cash Flow,388773000.0,-887361000.0,-383330000.0,-666559000.0
Cash Flow From Continuing Investing Activities,388773000.0,-887361000.0,-383330000.0,-666559000.0
Net Investment Purchase And Sale,-10750000.0,2382000.0,0.0,0.0
Sale Of Investment,0.0,3882000.0,0.0,0.0
Purchase Of Investment,-10750000.0,-1500000.0,0.0,0.0
Net Business Purchase And Sale,760419000.0,-536798000.0,-35948000.0,-380737000.0
Sale Of Business,814558000.0,9458000.0,6624000.0,169712000.0
Purchase Of Business,-54139000.0,-546256000.0,-42572000.0,-550449000.0
Net PPE Purchase And Sale,-360896000.0,-352945000.0,-347382000.0,-285822000.0
Sale Of PPE,9195000.0,7381000.0,14587000.0,1741000.0
Purchase Of PPE,-370091000.0,-360326000.0,-361969000.0,-287563000.0
Operating Cash Flow,1148087000.0,973274000.0,756947000.0,684811000.0
Cash Flow From Continuing Operating Activities,1148087000.0,973274000.0,756947000.0,684811000.0
Change In Working Capital,66513000.0,-146078000.0,-250023000.0,-149276000.0
Change In Other Current Assets,-50272000.0,-1552000.0,-24086000.0,7126000.0
Change In Payables And Accrued Expense,72528000.0,20993000.0,31288000.0,-1511000.0
Change In Accrued Expense,38939000.0,39955000.0,-22054000.0,-16398000.0
Change In Payable,33589000.0,-18962000.0,53342000.0,14887000.0
Change In Account Payable,33589000.0,-18962000.0,53342000.0,14887000.0
Change In Inventory,73072000.0,-37450000.0,-123921000.0,-102922000.0
Change In Receivables,-28815000.0,-128069000.0,-133304000.0,-51969000.0
Changes In Account Receivables,-28815000.0,-128069000.0,-133304000.0,-51969000.0
Other Non Cash Items,-3745000.0,223582000.0,-17469000.0,72830000.0
Stock Based Compensation,57397000.0,56535000.0,38951000.0,57660000.0
Asset Impairment Charge,0.0,0.0,490565000.0,0.0
Deferred Tax,-76546000.0,-131412000.0,-185913000.0,-106620000.0
Deferred Income Tax,-76546000.0,-131412000.0,-185913000.0,-106620000.0
Depreciation Amortization Depletion,476215000.0,565244000.0,552897000.0,553104000.0
Operating Gains Losses,12179000.0,25324000.0,22126000.0,14243000.0
Gain Loss On Investment Securities,,-546000.0,,
Gain Loss On Sale Of PPE,5735000.0,24997000.0,22193000.0,15117000.0
Gain Loss On Sale Of Business,6444000.0,327000.0,-67000.0,-874000.0
Net Income From Continuing Operations,616074000.0,380079000.0,105813000.0,242870000.0
