period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.86825,1.79,1.95386,1.7,5,0.099
+1q,2.70918,2.47,2.89,2.05,5,0.3216
0y,10.85348,10.58,11.44256,8.65,10,0.2547
+1y,12.45524,11.58021,14.55,10.85348,10,0.1476
