period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,6309251860,6203000000,6415503710,2,5983000000,0.0545
+1q,6204569180,6118000000,6291138370,2,5898000000,0.051999997
0y,26447272540,24867000000,27403000000,12,24935000000,0.060599998
+1y,27376817130,26016000000,28236000000,11,26447272540,0.035099998
