period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,1732744400,1713000000,1755000000,39,1539700000,0.1254
+1q,1822889480,1804400000,1849000000,38,1630000000,0.1183
0y,7600233050,7517000000,7669000000,42,6799600000,0.1177
+1y,8403173730,8144472580,8616000000,41,7600233050,0.10560001
