period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,1196232730,1086000000,1402600000,11,927000000,0.2904
+1q,1307893450,1196000000,1427700000,11,989000000,0.3224
0y,5371907890,5060000000,5865000000,21,4473000000,0.201
+1y,6272347730,4146699110,7546000000,22,5371907890,0.1676
