period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,1456518540,1449000000,1478291000,7,1242366000,0.1724
+1q,1489034100,1461000000,1515735000,7,1275441000,0.1675
0y,6134787380,6109600000,6177166000,7,5296759000,0.1582
+1y,6917081970,6767000000,7162707000,7,6134787380,0.1275
