period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.47111,0.41682,0.53,0.32,21,0.4722
+1q,0.60442,0.55,0.65,0.48,20,0.2592
0y,2.49461,2.38,2.59,2.09,23,0.1936
+1y,2.99115,2.73,3.29167,2.49461,23,0.199
