period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.21801,1.12,1.33,1.19,18,0.0235
+1q,1.26611,1.19,1.31,1.22,16,0.0378
0y,4.91747,4.78,5.1,4.71,25,0.044
+1y,5.25473,4.91,5.51,4.91747,23,0.0686
