,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,82064000.0,84315000.0,-1593420615.764997,-248497435.534647
Tax Rate For Calcs,0.223,0.219,0.287985,0.230731
Normalized EBITDA,47347000000.0,47135000000.0,45668000000.0,50060000000.0
Total Unusual Items,368000000.0,385000000.0,-5533000000.0,-1077000000.0
Total Unusual Items Excluding Goodwill,368000000.0,385000000.0,-5533000000.0,-1077000000.0
Net Income From Continuing Operation Net Minority Interest,17174000000.0,17506000000.0,11614000000.0,21256000000.0
Reconciled Depreciation,18349000000.0,17892000000.0,17624000000.0,17099000000.0
Reconciled Cost Of Revenue,56765000000.0,54097000000.0,54887000000.0,59133000000.0
EBITDA,47715000000.0,47520000000.0,40135000000.0,48983000000.0
EBIT,29366000000.0,29628000000.0,22511000000.0,31884000000.0
Net Interest Income,-6365000000.0,-6313000000.0,-5170000000.0,-3467000000.0
Interest Expense,6694000000.0,6649000000.0,5524000000.0,3613000000.0
Interest Income,329000000.0,336000000.0,354000000.0,146000000.0
Normalized Income,16888064000.0,17205315000.0,15553579384.235003,22084502564.46535
Net Income From Continuing And Discontinued Operation,17174000000.0,17506000000.0,11614000000.0,21256000000.0
Total Expenses,108932000000.0,106102000000.0,105256000000.0,106368000000.0
Total Operating Income As Reported,29259000000.0,28686000000.0,22877000000.0,30467000000.0
Diluted Average Shares,4231000000.0,4223000000.0,4215000000.0,4204000000.0
Basic Average Shares,4226000000.0,4218000000.0,4211000000.0,4202000000.0
Diluted EPS,4.06,4.14,2.75,5.06
Basic EPS,4.06,4.15,2.76,5.06
Diluted NI Availto Com Stockholders,17174000000.0,17506000000.0,11614000000.0,21256000000.0
Net Income Common Stockholders,17174000000.0,17506000000.0,11614000000.0,21256000000.0
Net Income,17174000000.0,17506000000.0,11614000000.0,21256000000.0
Minority Interests,-434000000.0,-443000000.0,-481000000.0,-492000000.0
Net Income Including Noncontrolling Interests,17608000000.0,17949000000.0,12095000000.0,21748000000.0
Net Income Continuous Operations,17608000000.0,17949000000.0,12095000000.0,21748000000.0
Tax Provision,5064000000.0,5030000000.0,4892000000.0,6523000000.0
Pretax Income,22672000000.0,22979000000.0,16987000000.0,28271000000.0
Other Income Expense,-222000000.0,606000000.0,-6561000000.0,1271000000.0
Other Non Operating Income Expenses,-590000000.0,274000000.0,-975000000.0,2304000000.0
Special Income Charges,368000000.0,385000000.0,-5533000000.0,-1077000000.0
Other Special Charges,-368000000.0,-385000000.0,-308000000.0,1077000000.0
Impairment Of Capital Assets,0.0,0.0,5841000000.0,0.0
Earnings From Equity Interest,0.0,-53000000.0,-53000000.0,44000000.0
Net Non Operating Interest Income Expense,-6365000000.0,-6313000000.0,-5170000000.0,-3467000000.0
Interest Expense Non Operating,6694000000.0,6649000000.0,5524000000.0,3613000000.0
Interest Income Non Operating,329000000.0,336000000.0,354000000.0,146000000.0
Operating Income,29259000000.0,28686000000.0,28718000000.0,30467000000.0
Operating Expense,52167000000.0,52005000000.0,50369000000.0,47235000000.0
Depreciation Amortization Depletion Income Statement,18349000000.0,17892000000.0,17624000000.0,17099000000.0
Depreciation And Amortization In Income Statement,18349000000.0,17892000000.0,17624000000.0,17099000000.0
Selling General And Administration,33818000000.0,34113000000.0,32745000000.0,30136000000.0
Gross Profit,81426000000.0,80691000000.0,79087000000.0,77702000000.0
Cost Of Revenue,56765000000.0,54097000000.0,54887000000.0,59133000000.0
Total Revenue,138191000000.0,134788000000.0,133974000000.0,136835000000.0
Operating Revenue,138191000000.0,134788000000.0,133974000000.0,136835000000.0
