period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,2.604,2.34,2.81,2.81,45,-0.0733
+1q,2.763,2.47,3.01,2.31,43,0.19610001
0y,11.43352,10.43,12.38,10.81,55,0.0577
+1y,13.324,10.92,14.88,11.43352,55,0.16530001
