,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Non Current Deferred Taxes Assets,76000000.0,87000000.0,89000000.0,128000000.0,120000000.0,
Goodwill And Other Intangible Assets,26519000000.0,27442000000.0,27633000000.0,27785000000.0,27964000000.0,
Other Intangible Assets,6509000000.0,7072000000.0,7261000000.0,7448000000.0,7639000000.0,
Goodwill,20010000000.0,20370000000.0,20372000000.0,20337000000.0,20325000000.0,
Net PPE,2665000000.0,2761000000.0,2742000000.0,2755000000.0,2806000000.0,
Accumulated Depreciation,-3201000000.0,,,,-2836000000.0,
Gross PPE,5866000000.0,,,,5642000000.0,
Machinery Furniture Equipment,4057000000.0,,,,3827000000.0,
Buildings And Improvements,1669000000.0,,,,1633000000.0,
Land And Improvements,140000000.0,,,,182000000.0,
Properties,0.0,,,,0.0,
Current Assets,8593000000.0,7593000000.0,7608000000.0,7596000000.0,8218000000.0,
Other Current Assets,431000000.0,477000000.0,481000000.0,478000000.0,461000000.0,
Assets Held For Sale Current,884000000.0,0.0,0.0,0.0,1131000000.0,
Inventory,1219000000.0,1291000000.0,1258000000.0,1252000000.0,1330000000.0,
Finished Goods,243000000.0,268000000.0,258000000.0,198000000.0,211000000.0,
Work In Process,291000000.0,327000000.0,323000000.0,349000000.0,332000000.0,
Raw Materials,685000000.0,696000000.0,677000000.0,705000000.0,787000000.0,
Receivables,4990000000.0,5486000000.0,5387000000.0,5349000000.0,4681000000.0,
Other Receivables,3566000000.0,3677000000.0,3857000000.0,3643000000.0,3230000000.0,
Taxes Receivable,53000000.0,281000000.0,93000000.0,205000000.0,379000000.0,
Accounts Receivable,1371000000.0,1528000000.0,1437000000.0,1501000000.0,1072000000.0,
Allowance For Doubtful Accounts Receivable,-21000000.0,,-24000000.0,-23000000.0,-21000000.0,-20000000.0
Gross Accounts Receivable,1392000000.0,,1461000000.0,1524000000.0,1093000000.0,1062000000.0
Cash Cash Equivalents And Short Term Investments,1069000000.0,339000000.0,482000000.0,517000000.0,615000000.0,
Cash And Cash Equivalents,1069000000.0,339000000.0,482000000.0,517000000.0,615000000.0,
