,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Ordinary Shares Number,198505205.0,200689657.0,204634244.0,210151340.0,215078018.0,,
Share Issued,198505205.0,200689657.0,204634244.0,210151340.0,215078018.0,,
Net Debt,1713900000.0,2455400000.0,2062900000.0,2421400000.0,2174700000.0,,
Total Debt,7055600000.0,7658900000.0,7342700000.0,7907400000.0,7830600000.0,,
Tangible Book Value,3331700000.0,3042500000.0,3182700000.0,3482200000.0,3556200000.0,,
Invested Capital,6186600000.0,6514900000.0,6334300000.0,7333600000.0,7408600000.0,,
Working Capital,217600000.0,-159300000.0,127000000.0,359900000.0,521300000.0,,
Net Tangible Assets,3331700000.0,3042500000.0,3182700000.0,3482200000.0,3556200000.0,,
Capital Lease Obligations,4623900000.0,4608700000.0,4613500000.0,4478600000.0,4399400000.0,,
Common Stock Equity,3754900000.0,3464700000.0,3605100000.0,3904800000.0,3977400000.0,,
Total Capitalization,6186600000.0,5895400000.0,6034800000.0,6333600000.0,6408600000.0,,
Total Equity Gross Minority Interest,3754900000.0,3464700000.0,3605100000.0,3904800000.0,3977400000.0,,
Stockholders Equity,3754900000.0,3464700000.0,3605100000.0,3904800000.0,3977400000.0,,
Gains Losses Not Affecting Retained Earnings,-50700000.0,-55200000.0,-54000000.0,-53600000.0,-59200000.0,,
Other Equity Adjustments,-50700000.0,-55200000.0,-54000000.0,-53600000.0,-59200000.0,,
Retained Earnings,3803600000.0,3517800000.0,3657000000.0,3956300000.0,3941500000.0,,
Additional Paid In Capital,0.0,0.0,0.0,0.0,92900000.0,,
Capital Stock,2000000.0,2100000.0,2100000.0,2100000.0,2200000.0,,
Common Stock,2000000.0,2100000.0,2100000.0,2100000.0,2200000.0,,
Total Liabilities Net Minority Interest,9711300000.0,10191600000.0,9779800000.0,14386400000.0,14666600000.0,,
Total Non Current Liabilities Net Minority Interest,6482700000.0,6301800000.0,6292900000.0,6149600000.0,6080700000.0,,
Other Non Current Liabilities,244300000.0,212200000.0,198800000.0,186200000.0,182600000.0,,
Liabilities Heldfor Sale Non Current,,0.0,0.0,0.0,0.0,,
Tradeand Other Payables Non Current,29700000.0,25300000.0,27600000.0,27300000.0,28200000.0,,
Non Current Deferred Liabilities,153300000.0,500000.0,0.0,0.0,0.0,,
Non Current Deferred Taxes Liabilities,153300000.0,500000.0,0.0,0.0,0.0,,
Long Term Debt And Capital Lease Obligation,6055400000.0,6063800000.0,6066500000.0,5936100000.0,5869900000.0,,
Long Term Capital Lease Obligation,3623700000.0,3633100000.0,3636800000.0,3507300000.0,3438700000.0,,
Long Term Debt,2431700000.0,2430700000.0,2429700000.0,2428800000.0,2431200000.0,,
Current Liabilities,3228600000.0,3889800000.0,3486900000.0,8236800000.0,8585900000.0,,
Other Current Liabilities,332200000.0,618600000.0,616900000.0,4453600000.0,4521500000.0,,
Current Debt And Capital Lease Obligation,1000200000.0,1595100000.0,1276200000.0,1971300000.0,1960700000.0,,
Current Capital Lease Obligation,1000200000.0,975600000.0,976700000.0,971300000.0,960700000.0,,
Current Debt,,619500000.0,299500000.0,1000000000.0,1000000000.0,1000000000.0,
Other Current Borrowings,,619500000.0,299500000.0,1000000000.0,1000000000.0,1000000000.0,
Line Of Credit,0.0,,,,0.0,,
Commercial Paper,0.0,,,,0.0,,
Pensionand Other Post Retirement Benefit Plans Current,215900000.0,,,,157600000.0,,
Payables And Accrued Expenses,1680300000.0,1676100000.0,1593800000.0,1811900000.0,1946100000.0,,
Payables,1680300000.0,1676100000.0,1593800000.0,1811900000.0,1946100000.0,,
Total Tax Payable,149600000.0,0.0,0.0,239900000.0,240300000.0,,
Income Tax Payable,0.0,0.0,0.0,239900000.0,120100000.0,,
Accounts Payable,1530700000.0,1676100000.0,1593800000.0,1572000000.0,1705800000.0,,
Total Assets,13466200000.0,13656300000.0,13384900000.0,18291200000.0,18644000000.0,,
Total Non Current Assets,10020000000.0,9925800000.0,9771000000.0,9694500000.0,9536800000.0,,
Other Non Current Assets,201100000.0,205600000.0,217500000.0,209700000.0,209300000.0,,
Non Current Deferred Assets,1000000.0,2000000.0,85500000.0,268700000.0,260600000.0,,
Non Current Deferred Taxes Assets,1000000.0,2000000.0,85500000.0,268700000.0,260600000.0,,
Goodwill And Other Intangible Assets,423200000.0,422200000.0,422400000.0,422600000.0,421200000.0,,
Other Intangible Assets,,,,,,2150000000.0,2150000000.0
Goodwill,423200000.0,422200000.0,422400000.0,422600000.0,421200000.0,,
Net PPE,9394700000.0,9296000000.0,9045600000.0,8793500000.0,8645700000.0,,
Accumulated Depreciation,-4848500000.0,-4814400000.0,-4682900000.0,-4483900000.0,-4332300000.0,,
Gross PPE,14243200000.0,14110400000.0,13728500000.0,13277400000.0,12978000000.0,,
Leases,3094500000.0,,,,2766800000.0,,
Construction In Progress,564700000.0,,,,909700000.0,,
Other Properties,4435100000.0,14110400000.0,13728500000.0,13277400000.0,4146400000.0,,
Machinery Furniture Equipment,4269500000.0,,,,3589100000.0,,
Buildings And Improvements,1694400000.0,,,,1403300000.0,,
Land And Improvements,185000000.0,,,,162700000.0,,
Properties,0.0,,,,0.0,,
Current Assets,3446200000.0,3730500000.0,3613900000.0,8596700000.0,9107200000.0,,
Other Current Assets,233000000.0,276000000.0,264200000.0,179800000.0,169800000.0,,
Assets Held For Sale Current,0.0,0.0,0.0,4705500000.0,5008900000.0,,
Inventory,2495400000.0,2859700000.0,2683400000.0,2704000000.0,2672000000.0,,
Finished Goods,2495400000.0,2859700000.0,2683400000.0,2704000000.0,2672000000.0,,
Cash Cash Equivalents And Short Term Investments,717800000.0,594800000.0,666300000.0,1007400000.0,1256500000.0,,
Cash And Cash Equivalents,717800000.0,594800000.0,666300000.0,1007400000.0,1256500000.0,,
