period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,4859223420,4789800000,4912922000,20,4464339000,0.0885
+1q,6759316610,6648200000,6903400000,20,6242726000,0.0828
0y,20536779670,20341700000,20937000000,24,18938717000,0.0844
+1y,22072160310,21077000000,22411931890,25,20536779670,0.0748
