,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-08-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.207,0.217,0.201367,0.194,0.184,,
Normalized EBITDA,854096000.0,932399000.0,1404450000.0,1010870000.0,844685000.0,,
Net Income From Continuing Operation Net Minority Interest,468860000.0,530823000.0,836950000.0,608440000.0,487923000.0,,
Reconciled Depreciation,155640000.0,148194000.0,197412000.0,144696000.0,137918000.0,,
Reconciled Cost Of Revenue,2030740000.0,2269317000.0,3026233000.0,2110816000.0,1823611000.0,,
EBITDA,854096000.0,932399000.0,1404450000.0,1010870000.0,844685000.0,,
EBIT,698456000.0,784205000.0,1207038000.0,866174000.0,706767000.0,,
Net Interest Income,-107205000.0,-106270000.0,-148088000.0,-111285000.0,-108822000.0,,
Interest Expense,107205000.0,106270000.0,159060000.0,111285000.0,108822000.0,,
Normalized Income,468860000.0,530823000.0,836950000.0,608440000.0,487923000.0,,
Net Income From Continuing And Discontinued Operation,468860000.0,530823000.0,836950000.0,608440000.0,487923000.0,,
Total Expenses,3575642000.0,3844425000.0,5046660000.0,3598165000.0,3245245000.0,,
Total Operating Income As Reported,698456000.0,784205000.0,1196066000.0,866174000.0,706767000.0,,
Diluted Average Shares,16969000.0,17102000.0,17181000.0,17207000.0,17245000.0,,
Basic Average Shares,16573000.0,16652000.0,16731000.0,16746000.0,16788000.0,,
Diluted EPS,27.63,31.04,48.71,35.36,28.29,,
Basic EPS,28.29,31.88,50.02,36.33,29.06,,
Diluted NI Availto Com Stockholders,468860000.0,530823000.0,836950000.0,608440000.0,487923000.0,,
Net Income Common Stockholders,468860000.0,530823000.0,836950000.0,608440000.0,487923000.0,,
Net Income,468860000.0,530823000.0,836950000.0,608440000.0,487923000.0,,
Net Income Including Noncontrolling Interests,468860000.0,530823000.0,836950000.0,608440000.0,487923000.0,,
Net Income Continuous Operations,468860000.0,530823000.0,836950000.0,608440000.0,487923000.0,,
Tax Provision,122391000.0,147112000.0,211028000.0,146449000.0,110022000.0,,
Pretax Income,591251000.0,677935000.0,1047978000.0,754889000.0,597945000.0,,
Net Non Operating Interest Income Expense,-107205000.0,-106270000.0,-148088000.0,-111285000.0,-108822000.0,,
Interest Expense Non Operating,107205000.0,106270000.0,159060000.0,111285000.0,108822000.0,,
Operating Income,698456000.0,784205000.0,1196066000.0,866174000.0,706767000.0,,
Operating Expense,1544902000.0,1575108000.0,2020427000.0,1487349000.0,1421634000.0,,
Other Operating Expenses,,,,,1421634000.0,1426908000.0,1961181000.0
Selling General And Administration,,,2020427000.0,1487349000.0,1421634000.0,1426908000.0,1961181000.0
Gross Profit,2243358000.0,2359313000.0,3216493000.0,2353523000.0,2128401000.0,,
Cost Of Revenue,2030740000.0,2269317000.0,3026233000.0,2110816000.0,1823611000.0,,
Total Revenue,4274098000.0,4628630000.0,6242726000.0,4464339000.0,3952012000.0,,
Operating Revenue,4274098000.0,4628630000.0,6242726000.0,4464339000.0,3952012000.0,,
