,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-08-31
Free Cash Flow,36716000.0,628907000.0,511121000.0,423144000.0,291047000.0,,
Repurchase Of Capital Stock,-314516000.0,-427178000.0,-442926000.0,-268780000.0,-326394000.0,,
Repayment Of Debt,152319000.0,-206417000.0,-22058000.0,-926684000.0,-9306000.0,,
Issuance Of Debt,,,-56900000.0,725500000.0,0.0,0.0,668700000.0
Issuance Of Capital Stock,19605000.0,31858000.0,61289000.0,46706000.0,28300000.0,,
Capital Expenditure,-336713000.0,-315264000.0,-441634000.0,-345886000.0,-292702000.0,,
End Cash Position,285492000.0,287639000.0,271803000.0,268625000.0,300905000.0,,
Beginning Cash Position,287639000.0,271803000.0,268625000.0,300905000.0,304018000.0,,
Effect Of Exchange Rate Changes,5405000.0,1082000.0,2636000.0,3861000.0,-842000.0,,
Changes In Cash,-7552000.0,14754000.0,542000.0,-36141000.0,-2271000.0,,
Financing Cash Flow,-40192000.0,-602711000.0,-469044000.0,-451329000.0,-288350000.0,,
Cash Flow From Continuing Financing Activities,-40192000.0,-602711000.0,-469044000.0,-451329000.0,-288350000.0,,
Net Other Financing Charges,0.0,-974000.0,-8449000.0,-6071000.0,-2950000.0,,
Net Common Stock Issuance,-294911000.0,-395320000.0,-381637000.0,-222074000.0,-298094000.0,,
Common Stock Payments,-314516000.0,-427178000.0,-442926000.0,-268780000.0,-326394000.0,,
Common Stock Issuance,19605000.0,31858000.0,61289000.0,46706000.0,28300000.0,,
Net Issuance Payments Of Debt,254719000.0,-206417000.0,-78958000.0,-223184000.0,12694000.0,,
Net Short Term Debt Issuance,,,-56900000.0,203500000.0,,,-1260900000.0
Short Term Debt Issuance,,,-56900000.0,,,,
Net Long Term Debt Issuance,152319000.0,-206417000.0,-22058000.0,-426684000.0,-9306000.0,,
Long Term Debt Payments,152319000.0,-206417000.0,-22058000.0,-926684000.0,-9306000.0,,
Long Term Debt Issuance,,,0.0,500000000.0,0.0,0.0,1300000000.0
Investing Cash Flow,-340789000.0,-326706000.0,-483169000.0,-353842000.0,-297670000.0,,
Cash Flow From Continuing Investing Activities,-340789000.0,-326706000.0,-483169000.0,-353842000.0,-297670000.0,,
Net Other Investing Changes,,,21611000.0,3352000.0,,,12307000.0
Net Investment Purchase And Sale,-12354000.0,-11442000.0,-63146000.0,-11308000.0,-7824000.0,,
Sale Of Investment,2557000.0,6288000.0,8499000.0,24727000.0,17486000.0,,
Purchase Of Investment,-14911000.0,-17730000.0,-71645000.0,-36035000.0,-25310000.0,,
Net PPE Purchase And Sale,,-1091000.0,,,,12001000.0,
Sale Of PPE,,,,,,12001000.0,
Capital Expenditure Reported,-337804000.0,-314173000.0,-441634000.0,-345886000.0,-292702000.0,,
Operating Cash Flow,373429000.0,944171000.0,952755000.0,769030000.0,583749000.0,,
Cash Flow From Continuing Operating Activities,373429000.0,944171000.0,952755000.0,769030000.0,583749000.0,,
Change In Working Capital,-254229000.0,174941000.0,-379206000.0,15436000.0,-36678000.0,,
Change In Other Working Capital,157584000.0,100086000.0,-173071000.0,37063000.0,65943000.0,,
Change In Payables And Accrued Expense,-7734000.0,243490000.0,122242000.0,153826000.0,279755000.0,,
Change In Inventory,-347038000.0,-205335000.0,-251591000.0,-188208000.0,-317928000.0,,
Change In Receivables,-57041000.0,36700000.0,-76786000.0,12755000.0,-64448000.0,,
Changes In Account Receivables,-57041000.0,36700000.0,-76786000.0,12755000.0,-64448000.0,,
Other Non Cash Items,61768000.0,101210000.0,83757000.0,-12978000.0,3043000.0,,
Stock Based Compensation,36742000.0,30727000.0,39133000.0,29021000.0,30446000.0,,
Deferred Tax,-95352000.0,-41724000.0,174709000.0,-15586000.0,-38903000.0,,
Deferred Income Tax,-95352000.0,-41724000.0,174709000.0,-15586000.0,-38903000.0,,
Depreciation Amortization Depletion,155640000.0,148194000.0,197412000.0,144696000.0,137918000.0,,
Depreciation And Amortization,155640000.0,148194000.0,197412000.0,144696000.0,137918000.0,,
Depreciation,155640000.0,148194000.0,,144696000.0,137918000.0,133173000.0,
Net Income From Continuing Operations,468860000.0,530823000.0,836950000.0,608441000.0,487923000.0,,
