period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,7635884480,7511876820,7839000000,12,7734000000,-0.0127
+1q,9277707290,8710000000,9762000000,12,9225700000,0.0056
0y,34017093900,32941199999,34686000000,14,34250400000,-0.0068
+1y,36140572890,32591700000,39446000000,13,34017093900,0.0624
