,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Tax Effect Of Unusual Items,0.0,-270882000.0,0.0,0.0
Tax Rate For Calcs,0.203,0.202,0.017,0.178
Normalized EBITDA,23921000000.0,23923000000.0,21823000000.0,21241000000.0
Total Unusual Items,0.0,-1341000000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,-1341000000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,15974000000.0,14879000000.0,14653000000.0,14742000000.0
Reconciled Depreciation,2847000000.0,2896000000.0,2714000000.0,2807000000.0
Reconciled Cost Of Revenue,41164000000.0,40848000000.0,42760000000.0,42157000000.0
EBITDA,23921000000.0,22582000000.0,21823000000.0,21241000000.0
EBIT,21074000000.0,19686000000.0,19109000000.0,18434000000.0
Net Interest Income,-438000000.0,-452000000.0,-449000000.0,-388000000.0
Interest Expense,907000000.0,925000000.0,756000000.0,439000000.0
Interest Income,469000000.0,473000000.0,307000000.0,51000000.0
Normalized Income,15974000000.0,15949118000.0,14653000000.0,14742000000.0
Net Income From Continuing And Discontinued Operation,15974000000.0,14879000000.0,14653000000.0,14742000000.0
Total Expenses,63833000000.0,64153000000.0,63872000000.0,62374000000.0
Total Operating Income As Reported,20451000000.0,18545000000.0,18134000000.0,17813000000.0
Diluted Average Shares,2454400000.0,2471900000.0,2483900000.0,2539100000.0
Basic Average Shares,2394902549.0,2407605178.0,2414003295.0,2457000000.0
Diluted EPS,6.51,6.02,5.9,5.81
Basic EPS,6.67,6.18,6.07,6.0
Diluted NI Availto Com Stockholders,15974000000.0,14879000000.0,14653000000.0,14742000000.0
Average Dilution Earnings,291000000.0,284000000.0,282000000.0,281000000.0
Net Income Common Stockholders,15682000000.0,14595000000.0,14371000000.0,14461000000.0
Preferred Stock Dividends,291000000.0,284000000.0,282000000.0,281000000.0
Net Income,15974000000.0,14879000000.0,14653000000.0,14742000000.0
Minority Interests,-91000000.0,-95000000.0,-85000000.0,-51000000.0
Net Income Including Noncontrolling Interests,16065000000.0,14974000000.0,14738000000.0,14793000000.0
Net Income Continuous Operations,16065000000.0,14974000000.0,14738000000.0,14793000000.0
Tax Provision,4102000000.0,3787000000.0,3615000000.0,3202000000.0
Pretax Income,20167000000.0,18761000000.0,18353000000.0,17995000000.0
Other Income Expense,154000000.0,-673000000.0,668000000.0,570000000.0
Other Non Operating Income Expenses,154000000.0,668000000.0,668000000.0,570000000.0
Special Income Charges,0.0,-1341000000.0,0.0,0.0
Impairment Of Capital Assets,0.0,1341000000.0,0.0,0.0
Net Non Operating Interest Income Expense,-438000000.0,-452000000.0,-449000000.0,-388000000.0
Interest Expense Non Operating,907000000.0,925000000.0,756000000.0,439000000.0
Interest Income Non Operating,469000000.0,473000000.0,307000000.0,51000000.0
Operating Income,20451000000.0,19886000000.0,18134000000.0,17813000000.0
Operating Expense,22669000000.0,23305000000.0,21112000000.0,20217000000.0
Selling General And Administration,22669000000.0,23305000000.0,21112000000.0,20217000000.0
Gross Profit,43120000000.0,43191000000.0,39246000000.0,38030000000.0
Cost Of Revenue,41164000000.0,40848000000.0,42760000000.0,42157000000.0
Total Revenue,84284000000.0,84039000000.0,82006000000.0,80187000000.0
Operating Revenue,84284000000.0,84039000000.0,82006000000.0,80187000000.0
