,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.031400003,3528321,1296358090,-0.0036000002
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0252,2831512,1040340005,0.020599999
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Mid-Cap Index Fund,0.0217,2443732,897863813,-0.0173
3,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128999995,1444782,530834590,-0.0094
4,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0127,1428828,524972851,0.0017
5,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0117999995,1324205,486532791,-0.0183
6,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Value Index Fund,0.0092,1033252,379632292,0.0234
7,2026-02-28,GLOBAL X FUNDS-Global X US Infrastructure Development ETF,0.0073,820623,301509206,0.0417
8,2026-02-28,SELECT SECTOR SPDR TRT-State Street Industrial Select Sector SPDR ETF,0.0058,651599,239407252,0.0627
9,2025-12-31,VANGUARD INSTITUTIONAL INDEX FUNDS-Vanguard Institutional Index Fund,0.0057,644042,236630696,-0.017
