period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.00269,0.95227,1.05,0.89,16,0.1266
+1q,1.10552,1.06,1.15,0.93,16,0.1887
0y,4.47094,4.27,4.64,4.01,18,0.1149
+1y,5.10881,4.79233,5.32,4.47094,17,0.1427
