period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,5172955630,5118000000,5217000000,13,4947000000,0.045700002
+1q,5292787520,5228000000,5358342220,13,5035000000,0.0512
0y,21400487690,21185100000,21503000000,14,20515000000,0.0432
+1y,22339166830,22034300000,22712027410,14,21400487690,0.043899998
