period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.09859,1.05,1.13,0.96,16,0.1444
+1q,1.18969,1.15,1.221,1.1,15,0.081499994
0y,4.61983,4.56636,4.66236,4.12,17,0.121300004
+1y,5.0181,4.9,5.14,4.61983,17,0.0862
