period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,1053681320,1045700000,1063600000,14,1002300000,0.0513
+1q,1119766090,1108825000,1128200000,13,1060300000,0.0561
0y,4320353490,4290362000,4332800000,17,4092400000,0.0557
+1y,4545670070,4474331000,4608000000,16,4320353490,0.052199997
