,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,1045852.089306,584152.537186,694514.560095,0.0,0.0,
Tax Rate For Calcs,0.00909,0.006821,0.014685,0.013527,0.013247,
Normalized EBITDA,228621000.0,223183000.0,224015000.0,224368000.0,221220000.0,
Total Unusual Items,115056000.0,85645000.0,47293000.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,115056000.0,85645000.0,47293000.0,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,156036000.0,108934000.0,80670000.0,38822000.0,40691000.0,
Reconciled Depreciation,150191000.0,159474000.0,152108000.0,149252000.0,145474000.0,
Reconciled Cost Of Revenue,147714000.0,155524000.0,154012000.0,149986000.0,147944000.0,
EBITDA,343677000.0,308828000.0,271308000.0,224368000.0,221220000.0,
EBIT,193486000.0,149354000.0,119200000.0,75116000.0,75746000.0,
Net Interest Income,-33979000.0,-34917000.0,-35307000.0,-33780000.0,-32587000.0,
Interest Expense,34079000.0,34995000.0,35375000.0,33790000.0,32565000.0,
Interest Income,100000.0,78000.0,68000.0,10000.0,-22000.0,
Normalized Income,42025852.089306,23873152.537186,34071514.560095,38822000.0,40691000.0,
Net Income From Continuing And Discontinued Operation,156036000.0,108934000.0,80670000.0,38822000.0,40691000.0,
Total Expenses,312464000.0,332045000.0,324670000.0,315459000.0,310551000.0,
Diluted Average Shares,108617000.0,108580000.0,109400000.0,108597000.0,108515000.0,
Basic Average Shares,107821000.0,108524000.0,108636000.0,108530000.0,108428000.0,
Diluted EPS,1.44,1.0,0.74,0.36,0.37,
Basic EPS,1.44,1.0,0.74,0.36,0.37,
Diluted NI Availto Com Stockholders,155701000.0,108701000.0,81034000.0,38731000.0,40617000.0,
Average Dilution Earnings,,,537000.0,0.0,,
Net Income Common Stockholders,155701000.0,108701000.0,80497000.0,38731000.0,40617000.0,
Otherunder Preferred Stock Dividend,335000.0,233000.0,173000.0,91000.0,74000.0,
Net Income,156036000.0,108934000.0,80670000.0,38822000.0,40691000.0,
Minority Interests,-1922000.0,-4645000.0,-1924000.0,-1945000.0,-1918000.0,
Net Income Including Noncontrolling Interests,157958000.0,113579000.0,82594000.0,40767000.0,42609000.0,
Net Income Continuous Operations,157958000.0,113579000.0,82594000.0,40767000.0,42609000.0,
Tax Provision,1449000.0,780000.0,1231000.0,559000.0,572000.0,
Pretax Income,159407000.0,114359000.0,83825000.0,41326000.0,43181000.0,
Other Income Expense,115056000.0,85645000.0,47293000.0,,0.0,-40988000.0
Special Income Charges,-12916000.0,0.0,0.0,0.0,0.0,
Other Special Charges,,,,,0.0,
Impairment Of Capital Assets,12916000.0,0.0,,,0.0,40988000.0
Gain On Sale Of Security,127972000.0,85645000.0,47293000.0,,0.0,
Net Non Operating Interest Income Expense,-33979000.0,-34917000.0,-35307000.0,-33780000.0,-32587000.0,
Interest Expense Non Operating,34079000.0,34995000.0,35375000.0,33790000.0,32565000.0,
Interest Income Non Operating,100000.0,78000.0,68000.0,10000.0,-22000.0,
Operating Income,78330000.0,63631000.0,71839000.0,75106000.0,75768000.0,
Operating Expense,164750000.0,176521000.0,170658000.0,165473000.0,162607000.0,
Other Operating Expenses,-5282000.0,-2565000.0,-2633000.0,-2487000.0,-1540000.0,
Depreciation Amortization Depletion Income Statement,150191000.0,159474000.0,152108000.0,149252000.0,145474000.0,
Depreciation And Amortization In Income Statement,150191000.0,159474000.0,152108000.0,149252000.0,145474000.0,
Selling General And Administration,19841000.0,19612000.0,21183000.0,18708000.0,18673000.0,
General And Administrative Expense,19841000.0,19612000.0,21183000.0,18708000.0,18673000.0,
Other Gand A,19841000.0,19612000.0,21183000.0,18708000.0,18673000.0,
Gross Profit,243080000.0,240152000.0,242497000.0,240579000.0,238375000.0,
Cost Of Revenue,147714000.0,155524000.0,154012000.0,149986000.0,147944000.0,
Total Revenue,390794000.0,395676000.0,396509000.0,390565000.0,386319000.0,
Operating Revenue,390794000.0,395676000.0,396509000.0,390565000.0,386319000.0,
