period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,5564091020,5496100000,5645420000,15,4984971000,0.1162
+1q,5943507710,5827758940,6036919990,15,5529152000,0.0749
0y,24397493370,24196000000,24650090020,17,22750559000,0.072399996
+1y,25917308450,25142000000,26505725690,16,24397493370,0.0623
