,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Tax Effect Of Unusual Items,,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,,0.2498,0.242499,0.2522,0.238699,0.244201,
Normalized EBITDA,,823556000.0,804999000.0,769276000.0,901761000.0,773941000.0,
Net Income From Continuing Operation Net Minority Interest,,511935000.0,507995000.0,479249000.0,586784000.0,488808000.0,
Reconciled Depreciation,,132187000.0,126399000.0,115938000.0,117204000.0,111803000.0,
Reconciled Cost Of Revenue,,4032446000.0,4002167000.0,3581366000.0,4343622000.0,3634283000.0,
EBITDA,,823556000.0,804999000.0,769276000.0,901761000.0,773941000.0,
EBIT,,691369000.0,678600000.0,653338000.0,784557000.0,662138000.0,
Net Interest Income,,33900000.0,32346000.0,34409000.0,39741000.0,42527000.0,
Interest Expense,,8971000.0,7980000.0,12459000.0,13792000.0,15395000.0,
Interest Income,,42871000.0,40326000.0,46868000.0,53533000.0,57922000.0,
Normalized Income,,511935000.0,507995000.0,479249000.0,586784000.0,488808000.0,
Net Income From Continuing And Discontinued Operation,,511935000.0,507995000.0,479249000.0,586784000.0,488808000.0,
Total Expenses,,4952448000.0,4890878000.0,4378501000.0,5181255000.0,4467138000.0,
Total Operating Income As Reported,,,638274000.0,606470000.0,,,659233000.0
Diluted Average Shares,322225000.0,323297000.0,324796000.0,327005000.0,328519000.0,,
Basic Average Shares,319733000.0,321270000.0,323000000.0,324877000.0,326014000.0,,
Diluted EPS,2.0,1.58,1.56,1.47,1.79,,
Basic EPS,2.02,1.59,1.57,1.48,1.8,,
Diluted NI Availto Com Stockholders,,511935000.0,507995000.0,479249000.0,586784000.0,488808000.0,
Net Income Common Stockholders,,511935000.0,507995000.0,479249000.0,586784000.0,488808000.0,
Net Income,,511935000.0,507995000.0,479249000.0,586784000.0,488808000.0,
Net Income Including Noncontrolling Interests,,511935000.0,507995000.0,479249000.0,586784000.0,488808000.0,
Net Income Continuous Operations,,511935000.0,507995000.0,479249000.0,586784000.0,488808000.0,
Tax Provision,,170463000.0,162625000.0,161630000.0,183981000.0,157935000.0,
Pretax Income,,682398000.0,670620000.0,640879000.0,770765000.0,646743000.0,
Net Non Operating Interest Income Expense,,33900000.0,32346000.0,34409000.0,39741000.0,42527000.0,
Interest Expense Non Operating,,8971000.0,7980000.0,12459000.0,13792000.0,15395000.0,
Interest Income Non Operating,,42871000.0,40326000.0,46868000.0,53533000.0,57922000.0,
Operating Income,,648498000.0,638274000.0,606470000.0,731024000.0,604216000.0,
Operating Expense,,920002000.0,888711000.0,797135000.0,837633000.0,832855000.0,
Selling General And Administration,,920002000.0,888711000.0,797135000.0,837633000.0,832855000.0,
Gross Profit,,1568500000.0,1526985000.0,1403605000.0,1568657000.0,1437071000.0,
Cost Of Revenue,,4032446000.0,4002167000.0,3581366000.0,4343622000.0,3634283000.0,
Total Revenue,,5600946000.0,5529152000.0,4984971000.0,5912279000.0,5071354000.0,
Operating Revenue,,5600946000.0,5529152000.0,4984971000.0,5912279000.0,5071354000.0,
