,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.222321,0.23333,0.227,0.232
Normalized EBITDA,801225000.0,714307000.0,680373000.0,652275000.0
Net Income From Continuing Operation Net Minority Interest,455748000.0,381816000.0,366646000.0,362916000.0
Reconciled Depreciation,204751000.0,199904000.0,190726000.0,177624000.0
Reconciled Cost Of Revenue,1360747000.0,1299477000.0,1219062000.0,1128614000.0
EBITDA,801225000.0,714307000.0,680373000.0,652275000.0
EBIT,596474000.0,514403000.0,489647000.0,474651000.0
Net Interest Income,17321000.0,8628000.0,-6114000.0,-2352000.0
Interest Expense,10438000.0,16384000.0,15073000.0,2384000.0
Interest Income,27759000.0,25012000.0,8959000.0,32000.0
Normalized Income,455748000.0,381816000.0,366646000.0,362916000.0
Net Income From Continuing And Discontinued Operation,455748000.0,381816000.0,366646000.0,362916000.0
Total Expenses,1806573000.0,1726152000.0,1597014000.0,1468265000.0
Total Operating Income As Reported,568715000.0,489391000.0,480688000.0,474619000.0
Diluted Average Shares,73045000.0,73025000.0,73096000.0,73486000.0
Basic Average Shares,72836391.0,72872130.0,72894433.0,72878821.0
Diluted EPS,6.24,5.23,5.02,4.94
Basic EPS,6.257147,5.239534,5.029822,4.979718
Diluted NI Availto Com Stockholders,455748000.0,381816000.0,366646000.0,362916000.0
Net Income Common Stockholders,455748000.0,381816000.0,366646000.0,362916000.0
Net Income,455748000.0,381816000.0,366646000.0,362916000.0
Net Income Including Noncontrolling Interests,455748000.0,381816000.0,366646000.0,362916000.0
Net Income Continuous Operations,455748000.0,381816000.0,366646000.0,362916000.0
Tax Provision,130288000.0,116203000.0,107928000.0,109351000.0
Pretax Income,586036000.0,498019000.0,474574000.0,472267000.0
Net Non Operating Interest Income Expense,17321000.0,8628000.0,-6114000.0,-2352000.0
Interest Expense Non Operating,10438000.0,16384000.0,15073000.0,2384000.0
Interest Income Non Operating,27759000.0,25012000.0,8959000.0,32000.0
Operating Income,568715000.0,489391000.0,480688000.0,474619000.0
Operating Expense,445826000.0,426675000.0,377952000.0,339651000.0
Research And Development,162771000.0,148256000.0,142678000.0,121355000.0
Selling General And Administration,283055000.0,278419000.0,235274000.0,218296000.0
Gross Profit,1014541000.0,916066000.0,858640000.0,814270000.0
Cost Of Revenue,1360747000.0,1299477000.0,1219062000.0,1128614000.0
Total Revenue,2375288000.0,2215543000.0,2077702000.0,1942884000.0
Operating Revenue,2375288000.0,2215543000.0,2077702000.0,1942884000.0
