,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-26175000.0,-33294000.0,-22772308.669419,-24750000.0
Tax Rate For Calcs,0.075,0.093,0.045094,0.09
Normalized EBITDA,11856000000.0,11893000000.0,11584000000.0,12217000000.0
Total Unusual Items,-349000000.0,-358000000.0,-505000000.0,-275000000.0
Total Unusual Items Excluding Goodwill,-349000000.0,-358000000.0,-505000000.0,-275000000.0
Net Income From Continuing Operation Net Minority Interest,6704000000.0,6335000000.0,5995000000.0,6950000000.0
Reconciled Depreciation,2780000000.0,3108000000.0,3406000000.0,3381000000.0
Reconciled Cost Of Revenue,26318000000.0,25177000000.0,25757000000.0,25944000000.0
EBITDA,11507000000.0,11535000000.0,11079000000.0,11942000000.0
EBIT,8727000000.0,8427000000.0,7673000000.0,8561000000.0
Net Interest Income,-426000000.0,-312000000.0,-496000000.0,-454000000.0
Interest Expense,1419000000.0,1390000000.0,1375000000.0,726000000.0
Interest Income,993000000.0,1078000000.0,879000000.0,272000000.0
Normalized Income,7026825000.0,6659706000.0,6477227691.330581,7200250000.0
Net Income From Continuing And Discontinued Operation,6704000000.0,6335000000.0,5995000000.0,6950000000.0
Total Expenses,36447000000.0,35162000000.0,35539000000.0,36408000000.0
Total Operating Income As Reported,7746000000.0,7337000000.0,6859000000.0,8393000000.0
Diluted Average Shares,378000000.0,383000000.0,388000000.0,394000000.0
Basic Average Shares,377000000.0,382000000.0,386000000.0,392000000.0
Diluted EPS,17.74,16.53,15.45,17.63
Basic EPS,17.77,16.58,15.52,17.75
Diluted NI Availto Com Stockholders,6704000000.0,6335000000.0,5995000000.0,6950000000.0
Net Income Common Stockholders,6704000000.0,6335000000.0,5995000000.0,6950000000.0
Net Income,6704000000.0,6335000000.0,5995000000.0,6950000000.0
Minority Interests,-17000000.0,-3000000.0,40000000.0,-10000000.0
Net Income Including Noncontrolling Interests,6721000000.0,6338000000.0,5955000000.0,6960000000.0
Net Income Continuous Operations,6721000000.0,6338000000.0,5955000000.0,6960000000.0
Earnings From Equity Interest Net Of Tax,-41000000.0,-42000000.0,-59000000.0,-172000000.0
Tax Provision,547000000.0,657000000.0,284000000.0,703000000.0
Pretax Income,7308000000.0,7037000000.0,6298000000.0,7835000000.0
Other Income Expense,-374000000.0,-367000000.0,-524000000.0,-218000000.0
Other Non Operating Income Expenses,-25000000.0,-9000000.0,-19000000.0,57000000.0
Special Income Charges,-362000000.0,-379000000.0,-459000000.0,-114000000.0
Restructuring And Mergern Acquisition,362000000.0,379000000.0,459000000.0,114000000.0
Gain On Sale Of Security,13000000.0,21000000.0,-46000000.0,-161000000.0
Net Non Operating Interest Income Expense,-426000000.0,-312000000.0,-496000000.0,-454000000.0
Interest Expense Non Operating,1419000000.0,1390000000.0,1375000000.0,726000000.0
Interest Income Non Operating,993000000.0,1078000000.0,879000000.0,272000000.0
Operating Income,8110000000.0,7717000000.0,7318000000.0,8507000000.0
Operating Expense,10129000000.0,9985000000.0,9782000000.0,10464000000.0
Research And Development,1397000000.0,1390000000.0,1337000000.0,1471000000.0
Selling General And Administration,8732000000.0,8595000000.0,8445000000.0,8993000000.0
Gross Profit,18239000000.0,17702000000.0,17100000000.0,18971000000.0
Cost Of Revenue,26318000000.0,25177000000.0,25757000000.0,25944000000.0
Total Revenue,44557000000.0,42879000000.0,42857000000.0,44915000000.0
Operating Revenue,44557000000.0,42879000000.0,42857000000.0,44915000000.0
