period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.39019,0.37,0.4132,0.34,22,0.1476
+1q,0.48481,0.47,0.51374,0.44,19,0.1018
0y,1.84546,1.79,1.91571,1.61,26,0.1462
+1y,2.09222,1.94,2.2,1.84546,25,0.1337
