,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,1859740714.0,1900189590.0,1958427685.0,2066000000.0
Share Issued,1859740714.0,1900189590.0,1958427685.0,2066000000.0
Net Debt,18203000000.0,17570000000.0,17180000000.0,16089000000.0
Total Debt,19352000000.0,18989000000.0,19024000000.0,18535000000.0
Tangible Book Value,12888000000.0,12069000000.0,11474000000.0,12113000000.0
Invested Capital,32028000000.0,31005000000.0,30513000000.0,30662000000.0
Working Capital,-583000000.0,-456000000.0,136000000.0,1378000000.0
Net Tangible Assets,12888000000.0,12069000000.0,11474000000.0,12113000000.0
Capital Lease Obligations,479000000.0,486000000.0,491000000.0,488000000.0
Common Stock Equity,13155000000.0,12502000000.0,11980000000.0,12615000000.0
Total Capitalization,31320000000.0,30399000000.0,29955000000.0,30511000000.0
Total Equity Gross Minority Interest,13160000000.0,12507000000.0,11985000000.0,12625000000.0
Minority Interest,5000000.0,5000000.0,5000000.0,10000000.0
Stockholders Equity,13155000000.0,12502000000.0,11980000000.0,12615000000.0
Gains Losses Not Affecting Retained Earnings,-213000000.0,-232000000.0,-279000000.0,-388000000.0
Other Equity Adjustments,-213000000.0,-232000000.0,-279000000.0,-388000000.0
Retained Earnings,10560000000.0,9988000000.0,9609000000.0,10363000000.0
Additional Paid In Capital,948000000.0,846000000.0,691000000.0,574000000.0
Capital Stock,1860000000.0,1900000000.0,1959000000.0,2066000000.0
Common Stock,1860000000.0,1900000000.0,1959000000.0,2066000000.0
Total Liabilities Net Minority Interest,30522000000.0,30257000000.0,30227000000.0,29287000000.0
Total Non Current Liabilities Net Minority Interest,27389000000.0,26981000000.0,27004000000.0,26816000000.0
Other Non Current Liabilities,536000000.0,560000000.0,543000000.0,571000000.0
Non Current Deferred Liabilities,7914000000.0,7725000000.0,7699000000.0,7569000000.0
Non Current Deferred Taxes Liabilities,7914000000.0,7725000000.0,7699000000.0,7569000000.0
Long Term Debt And Capital Lease Obligation,18644000000.0,18383000000.0,18466000000.0,18384000000.0
Long Term Capital Lease Obligation,479000000.0,486000000.0,491000000.0,488000000.0
Long Term Debt,18165000000.0,17897000000.0,17975000000.0,17896000000.0
Long Term Provisions,295000000.0,313000000.0,296000000.0,292000000.0
Current Liabilities,3133000000.0,3276000000.0,3223000000.0,2471000000.0
Other Current Liabilities,272000000.0,243000000.0,243000000.0,228000000.0
Current Debt And Capital Lease Obligation,708000000.0,606000000.0,558000000.0,151000000.0
Current Debt,708000000.0,606000000.0,558000000.0,151000000.0
Current Provisions,184000000.0,149000000.0,144000000.0,144000000.0
Payables And Accrued Expenses,1969000000.0,2278000000.0,2278000000.0,1948000000.0
Current Accrued Expenses,170000000.0,172000000.0,,
Interest Payable,170000000.0,172000000.0,,
Payables,1799000000.0,2106000000.0,2278000000.0,1948000000.0
Other Payable,532000000.0,480000000.0,517000000.0,707000000.0
Total Tax Payable,118000000.0,508000000.0,524000000.0,111000000.0
Accounts Payable,1149000000.0,1118000000.0,1237000000.0,1130000000.0
Total Assets,43682000000.0,42764000000.0,42212000000.0,41912000000.0
Total Non Current Assets,41132000000.0,39944000000.0,38853000000.0,38063000000.0
Other Non Current Assets,956000000.0,846000000.0,731000000.0,522000000.0
Investments And Advances,2634000000.0,2520000000.0,2397000000.0,2292000000.0
Long Term Equity Investment,2634000000.0,2520000000.0,2397000000.0,2292000000.0
Goodwill And Other Intangible Assets,267000000.0,433000000.0,506000000.0,502000000.0
Other Intangible Assets,187000000.0,194000000.0,181000000.0,183000000.0
Goodwill,80000000.0,239000000.0,325000000.0,319000000.0
Net PPE,37275000000.0,36145000000.0,35219000000.0,34747000000.0
Accumulated Depreciation,-17005000000.0,-16533000000.0,-15560000000.0,-13863000000.0
Gross PPE,54280000000.0,52678000000.0,50779000000.0,48610000000.0
Construction In Progress,998000000.0,1069000000.0,815000000.0,745000000.0
Other Properties,28090000000.0,27155000000.0,26291000000.0,25364000000.0
Buildings And Improvements,4968000000.0,4732000000.0,4651000000.0,4405000000.0
Land And Improvements,2286000000.0,2276000000.0,2272000000.0,2272000000.0
Current Assets,2550000000.0,2820000000.0,3359000000.0,3849000000.0
Other Current Assets,187000000.0,75000000.0,90000000.0,108000000.0
Inventory,390000000.0,414000000.0,440000000.0,341000000.0
Receivables,1298000000.0,1326000000.0,1393000000.0,1313000000.0
Other Receivables,389000000.0,330000000.0,364000000.0,262000000.0
Accounts Receivable,909000000.0,996000000.0,1029000000.0,1051000000.0
Allowance For Doubtful Accounts Receivable,-23000000.0,-16000000.0,-18000000.0,-16000000.0
Gross Accounts Receivable,932000000.0,1012000000.0,1047000000.0,1067000000.0
Cash Cash Equivalents And Short Term Investments,675000000.0,1005000000.0,1436000000.0,2087000000.0
Other Short Term Investments,5000000.0,72000000.0,83000000.0,129000000.0
Cash And Cash Equivalents,670000000.0,933000000.0,1353000000.0,1958000000.0
