period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.06791,1.06,1.08,0.73,44,0.4629
+1q,1.15754,1.03,1.21,0.93,43,0.2447
0y,4.85741,4.79,5.0,3.73,54,0.3023
+1y,6.17242,5.6,7.74,4.85741,53,0.2707
