period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.24439,0.722,2.21,1.07,13,0.16299999
+1q,1.34495,0.768,2.62,1.09,13,0.2339
0y,5.28254,2.959,9.48,4.19,16,0.2607
+1y,5.93725,4.02,8.02,4.83423,7,0.2282
