period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,2.61661,2.34,2.81,2.81,43,-0.0688
+1q,2.77654,2.47,3.0,2.31,41,0.202
0y,11.55535,10.43,13.82,10.81,55,0.069
+1y,13.42968,11.7,15.87,11.55535,53,0.16219999
