period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.94525,0.91759,0.97,0.91,15,0.0387
+1q,0.96625,0.94114,0.99,0.92,15,0.050300002
0y,3.87176,3.76388,3.94,3.69,19,0.0493
+1y,4.12819,4.02,4.25,3.87176,19,0.066199996
