period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,5205480250,5119000000,5262280000,12,4911000000,0.06
+1q,5326488670,5284836000,5394800000,12,5110000000,0.0424
0y,21280731540,21029000000,21491000000,17,20382000000,0.044099998
+1y,21998008150,21673000000,22497000000,17,21280731540,0.0337
