period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.937,1.78,2.03,1.58,10,0.2259
+1q,2.14125,2.08,2.22,1.94,8,0.1037
0y,8.415,8.2,8.76,7.5,12,0.122
+1y,9.46083,9.2,10.06,8.415,12,0.1243
