period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,2871867360,2707000000,2968118000,22,2204828000,0.3025
+1q,3207446960,3187000000,3266890000,22,2361234000,0.3584
0y,12466111870,12109000000,12662909000,25,9315056000,0.33830002
+1y,13196397280,13012000000,13327521000,25,12466111870,0.0586
